phrase,frequency,wiki_score,label
narrowband internet,2.1245528781897264e-05,0.0,0
angle-of-arrival estimation,7.725646829780823e-06,-4520.0,0
= 2,5.794235122335618e-06,0.0,0
radiology reports,5.794235122335618e-06,-10086.0,0
isogeny graphs,3.862823414890411e-06,0.0,0
a classroom,9.65705853722603e-06,0.0,0
emitters,9.65705853722603e-06,0.0,0
input clues,3.862823414890411e-06,-1070.0,0
hydrogeology,9.65705853722603e-06,0.0,0
trace-driven simulation,5.794235122335618e-06,-1053.0,0
coping,1.931411707445206e-05,0.0,0
software requirements,3.090258731912329e-05,0.0,0
test applications,3.862823414890411e-06,-3810.0,0
do,5.794235122335618e-06,0.0,0
theory change,1.3519881952116441e-05,0.0,0
grapes,1.1588470244671236e-05,0.0,0
haptic perception,3.862823414890411e-06,0.0,0
molecular recognition,3.862823414890411e-06,0.0,0
pushdown automata,3.669682244145891e-05,0.0,0
prior distribution,3.862823414890411e-06,-1654.0,0
helmholtz equations,3.862823414890411e-06,0.0,0
capacity maximization,9.65705853722603e-06,-3850.0,0
skin surface,3.862823414890411e-06,0.0,0
nash bargaining,3.862823414890411e-06,0.0,0
sonar,1.1588470244671236e-05,0.0,0
parallel servers,5.794235122335618e-06,0.0,0
associative processor,3.862823414890411e-06,0.0,0
cl,3.090258731912329e-05,0.0,0
new paradigm,5.794235122335618e-06,0.0,0
uncontrolled conditions,5.794235122335618e-06,-9582.0,0
invariant subspaces,9.65705853722603e-06,0.0,0
organisational culture,3.862823414890411e-06,0.0,0
the helpfulness,7.725646829780823e-06,0.0,0
rank atlases,3.862823414890411e-06,0.0,0
layer design,3.862823414890411e-06,-2000.0,0
pseudorandom generators,3.862823414890411e-06,0.0,0
link dynamics,3.862823414890411e-06,-1996.0,0
capacity balancing,3.862823414890411e-06,-5844.0,0
nurbs interpolation,3.862823414890411e-06,0.0,0
pivoting algorithms,3.862823414890411e-06,0.0,0
band-limited signals,1.1588470244671236e-05,-11772.0,0
bulk cmos,7.725646829780823e-06,-640.0,0
a wager,3.862823414890411e-06,0.0,0
two-dimensional languages,3.862823414890411e-06,-4878.0,0
service-oriented software,5.794235122335618e-06,0.0,0
optimum combining,9.65705853722603e-06,-12305.0,0
source terms,7.725646829780823e-06,-11888.0,0
movement recognition,3.862823414890411e-06,-7164.0,0
oxford,2.1245528781897264e-05,0.0,0
an evolution,1.5451293659561645e-05,-35952.0,0
concavity,9.65705853722603e-06,0.0,0
sc-fdma systems,7.725646829780823e-06,-13984.0,0
robot simulations,3.862823414890411e-06,0.0,0
proceedings,9.85019970797055e-05,-56712.0,0
structured tasks,3.862823414890411e-06,-4102.0,0
resource division,3.862823414890411e-06,0.0,0
five-axis machining,3.862823414890411e-06,0.0,0
engineering projects,3.862823414890411e-06,-6040.0,0
thoracic ct,5.794235122335618e-06,0.0,0
digital archives,2.317694048934247e-05,0.0,0
random models,1.1588470244671236e-05,-14658.0,0
pragma,3.862823414890411e-06,0.0,0
mqtt,3.862823414890411e-06,0.0,0
sense disambiguation,9.65705853722603e-06,0.0,0
biological sequences,3.4765410734013705e-05,0.0,0
tension spline,3.862823414890411e-06,-388.0,0
dempster-shafer approach,3.862823414890411e-06,0.0,0
electrophysiological evidence,5.021670439357535e-05,0.0,0
