noun_phrase,frequency
Learning,135
Models,114
Analysis,105
Data,82
Overview,55
Mining,50
Security,49
Systems,48
Applications,47
Statistics,47
Automation,42
Knowledge,40
Networks,40
Detection,36
Knowledge Management,36
Big Data,34
Evaluation,32
Handbook,32
Computing,29
Methods,29
Clustering,29
Design,28
Modeling,27
Virtual Environments,27
Control,26
Reinforcement Learning,26
An Overview,25
Distribution,25
Algorithms,25
Image,25
Neural Networks,24
Data Mining,23
Virtual Reality,23
Selection,23
Trees,23
Application,22
Privacy,22
Theory,22
Classification,22
Function,21
Web,21
Video,21
Architecture,21
Decision,21
Graph,20
Error,20
Model,19
Regression,19
Models of,19
Digital Libraries,19
Access,18
Key,18
Attack,18
Authentication,18
Multimedia,18
Wireless Networks,17
Problem,17
Probability,17
Network,17
Service,17
Introduction,17
Business,17
Estimation,17
Discovery,17
Simulation,16
Cryptography,16
Quality,16
Education,16
An Introduction,15
Encyclopedia,15
Attacks,15
Techniques,15
Identification,15
Computer,15
Model Checking,15
Rule,14
Scheduling,14
Optimization,14
Visualization,14
Language,14
Structures,14
Video Compression,14
Integration,13
Logic,13
Databases,13
Biometrics,13
Ethics,13
Management,13
Synthesis,13
WLANs,13
WSNs,13
Mean,13
Time,12
the Internet,12
Tree,12
Cryptosystem,12
Information Security,12
Patterns,12
Technologies,12
Social Networks,12
History,12
Interaction,12
Content,12
Multimedia Content,12
Three,12
User,11
Machine,11
Complexity,11
Algorithm,11
Approximation Algorithms,11
Information,11
Protocol,11
Challenges,11
Software,11
Technology,11
Bias,11
Mapping,11
Statistics in,11
Distance,11
Planning,10
Approximation,10
Adaptive,10
Face,10
Trust,10
QoS,10
Augmented Reality,10
Virtual,10
Software Engineering,10
Neural,10
Evolutionary Algorithms,10
Real-Time,10
Curve,10
System,9
Arithmetic,9
Functions,9
XML,9
Correlation,9
Dynamics,9
Schemes,9
Pattern,9
Network Security,9
Assessment,9
Genetic Programming,9
Support,9
Communication,9
Artificial,9
Requirements,9
Computational Models,9
Testing,9
Loss,9
Segmentation,9
Programming,8
Semantics,8
Artificial Intelligence,8
Space,8
Method,8
Computation,8
Graphs,8
Measures,8
Theorem,8
Placement,8
Encryption,8
Number,8
Interactive,8
Formal Methods,8
Matrix,8
Access Control,8
Forensics,8
Relationship,8
Trends,8
Video Games,8
Games,8
Color,8
Bayesian,8
Measurement,8
Standards,8
Physical Security,8
Services,8
Mobile Computing,8
Tests,8
Variance,8
Analytics,8
Extraction,8
Indexing,8
Inductive,8
Clause,8
Machine Learning,8
Dynamic Programming,8
Middleware,7
Feature,7
Reasoning,7
Examples,7
Forests,7
Problems,7
Structure,7
Representation,7
Protection,7
Anonymity,7
Boolean Functions,7
Languages,7
Channels,7
Point,7
Retrieval,7
AAL,7
The Role,7
Devices,7
Research,7
CMC,7
Large-Scale,7
Real-Time Systems,7
Evolutionary,7
Basal Ganglia,7
Biophysical Models,7
Engineering,7
MANET,7
Auditing,7
Synchronization,7
Evolution,7
Frequent,7
Statistical,7
Most,7
Induction,7
Universal Access,7
Signal Processing,7
MPEG-7,7
Object,7
Types,6
LILOG,6
Terms,6
Resolution,6
the Complexity,6
Optimal,6
Approach,6
Stochastic Processes,6
II,6
People,6
Principles,6
Cryptanalysis,6
Field,6
Prime,6
Video Surveillance,6
SQL,6
Duties,6
Immune,6
Proof,6
Random,6
Intrusion Detection,6
Sequences,6
Verification,6
Nearest,6
Common Criteria,6
Recognition,6
Linear,6
Policies,6
Evolutionary Computation,6
Infrastructure,6
Mobile Communications,6
Sensor Networks,6
It,6
Protocols,6
Maintenance,6
Implementation,6
History of,6
Gaming,6
Cellular Automata,6
Reality,6
Operating Systems,6
Organizations,6
Statistical Methods,6
Tools,6
Processing,6
Active,6
Genetic Algorithms,6
Visual Prosthesis,6
Local Field,6
Sensitivity,6
Role,6
3D,6
Images,6
Risk,6
Transfer,6
Time Series,6
Cluster,6
Test,6
Ad-Hoc Networks,6
Its Applications,6
Hierarchical,6
Fuzzy Systems,6
All,6
Mobile Middleware,6
Documents,6
Semantic,6
Evolutionary Feature,6
Experiments,5
LILOG-DB,5
Tool,5
Objects,5
Specification,5
Finance,5
Convergence,5
Polytopes,5
Computational Complexity,5
Parallel,5
Solutions,5
Means,5
Use,5
Inversion,5
Electronic,5
AES,5
SSL,5
Buffer,5
Certification,5
Identity,5
Policy,5
Generator,5
Shannon 's,5
DES,5
Firewalls,5
Notation,5
Computational,5
Spyware,5
Hybrid,5
TLS,5
Memory,5
Stream Cipher,5
Metrics,5
Factoring,5
Sequence,5
Vector Problem,5
Elliptic Curve,5
Entity,5
Certificate,5
Area,5
Localization,5
Flow,5
Mechanisms,5
Potential,5
A Review,5
Rehabilitation,5
Healthcare,5
Perspectives,5
Ontologies,5
Peer-to-Peer Systems,5
Enterprise,5
Logic Synthesis,5
Navigation,5
Fundamentals,5
Precision,5
Construction,5
Computer Games,5
Accessibility,5
Incremental,5
Engines,5
Engine,5
Information Systems,5
Bioinformatics,5
Document,5
Geographic,5
Neural Coding,5
Neuronal,5
Conductance Models,5
Multistability,5
Neuronal Parameter,5
Vision,5
Response,5
Development,5
Wireless LANs,5
Controls,5
Incident Response,5
MPEG-21,5
Energy Efficiency,5
Risk Management,5
Emerging,5
Issues,5
VPNs,5
State,5
Architectures,5
Environments,5
Information Ethics,5
Advertising,5
Designs,5
Ontology,5
Statistical Inference,5
Logistic,5
Background,5
Power,5
Inequality,5
Multimedia Systems,5
Minimization,5
Watermarking,5
Wireless Video,5
Image Indexing,5
Video Coding,5
Data Streams,5
Expectation,5
Hypothesis,5
Concepts,4
Feature Terms,4
Machine Translation,4
Improving,4
Production,4
Determination,4
Optimization Problems,4
Variational Inequalities,4
Gaussian Processes,4
Improvement,4
Compilers,4
Performance Analysis,4
Comparison,4
Approximate,4
Product,4
Properties,4
Calculus,4
Quantization,4
Parallel Programs,4
W3C,4
SOM,4
Data Warehouses,4
Malware,4
Multicast,4
Biometric,4
Chosen Plaintext,4
Bit Generator,4
Group,4
Side-Channel,4
Window Exponentiation,4
Human Ear,4
Elliptic Curves,4
Visual Secret,4
Hyperelliptic Curves,4
Autocorrelation,4
Factor,4
Storage,4
Timing,4
Penetration,4
Resistance,4
Covert,4
Register,4
Dynamic,4
Threshold,4
Program,4
PKI,4
Stream Ciphers,4
Subgroup,4
Linear Cryptanalysis,4
Polynomial,4
List,4
Cloud,4
Prevention,4
Signature Schemes,4
Closest,4
Mobile,4
