noun_phrase,frequency,score
analysis,4058,0
application,3457,0
design,2506,0
data,2273,0
a survey,1805,0
evaluation,1619,0
review,1616,0
model,1602,0
its application,1531,0
algorithm,1521,0
preface,1450,0
a note,1432,0
introduction,1407,0
optimization,1389,0
special issue,1375,0
performance,1364,0
a class,1253,0
comparison,1245,0
research,1242,0
graphs,1188,0
it,1184,0
approach,1183,0
problem,1165,0
algorithms,1165,0
the,1162,0
performance analysis,1149,0
detection,1530,-419220
a review,1096,0
the impact,1092,0
method,1087,0
the role,1070,0
control,1027,0
a study,1013,0
theory,1009,0
modeling,1008,0
editorial,2341,-1334370
the use,997,0
methods,936,0
the case,925,0
the internet,923,0
system,878,0
internet,878,0
the presence,872,0
a comparison,860,0
study,845,0
the performance,818,0
china,770,0
the effect,753,0
simulation,1104,-387504
impact,713,0
the design,690,0
a method,688,0
use,684,0
identification,679,0
a model,652,0
assessment,650,0
evidence,646,0
letter,620,0
performance evaluation,608,0
recognition,604,0
time,600,0
classification,1397,-799084
knowledge,589,0
genetic algorithms,580,0
hoc,579,0
erratum,579,0
architecture,574,0
selection,571,0
effect,559,0
the web,555,0
network,554,0
mining,538,0
protocol,580,-51620
we,523,0
the number,523,0
you,522,0
web,519,0
genetic algorithm,515,0
clustering,513,0
hybrid,492,0
quality,487,0
big data,476,0
designing,475,0
security,470,0
software,470,0
mapping,469,0
convergence,468,0
the influence,453,0
characterization,444,0
review of,440,0
support,438,0
guest,434,0
face recognition,429,0
factors,412,0
computation,408,0
the analysis,408,0
two,402,0
construction,402,0
feature selection,398,0
ccedil,395,0
segmentation,391,0
new,383,0
properties,382,0
ii,379,0
the future,379,0
neural network,378,0
advances,377,0
influence,366,0
a hybrid,366,0
functions,363,0
scheduling,450,-87750
fusion,357,0
a tool,351,0
machine,350,0
correction,349,0
dynamics,346,0
solution,342,0
a case,338,0
case study,335,0
data mining,334,0
corrigendum,334,0
synthesis,333,0
a system,331,0
memory,328,0
the solution,320,0
practice,319,0
reasoning,318,0
requirements,318,0
the cloud,312,0
structure,311,0
micro,305,0
retrieval,303,0
science,302,0
3d,302,0
the editor-in-chief,298,0
iot,297,0
state,295,0
the application,294,0
reduction,293,0
business,292,0
privacy,290,0
the context,286,0
ad,285,0
optimal control,284,0
the relationship,283,0
cloud,281,0
report,279,0
people,277,0
overview,275,0
efficient,272,0
approaches,271,0
survey,271,0
technologies,270,0
parallel,269,0
video,267,0
fault diagnosis,266,0
diagnosis,264,0
dynamic,449,-186784
their application,262,0
discovery,261,0
remote sensing,261,0
5g,260,0
trust,259,0
a graph,259,0
pattern recognition,254,0
there,252,0
distribution,251,0
experience,251,0
strategy,251,0
mobile devices,290,-39730
power,250,0
part ii,249,0
context,248,0
social media,396,-148896
optimal,247,0
visualization,299,-52923
special section,245,0
localization,239,0
generalized,239,0
robust,238,0
representation,237,0
heuristics,237,0
semantics,236,0
space,236,0
regression,236,0
robots,236,0
guest editorial,548,-312360
global optimization,235,0
processes,234,0
noise,233,0
ntilde,232,0
part,231,0
szlig,230,0
challenges,976,-747616
the theory,228,0
verification,228,0
the evaluation,224,0
e-learning,223,0
cryptanalysis,221,0
structures,220,0
remote,220,0
fast,219,0
schemes,219,0
the effectiveness,219,0
linear programming,219,0
mobile ad,218,0
multimedia,217,0
the structure,216,0
risk,216,0
robustness,215,0
synchronization,214,0
foreword,213,0
simulations,213,0
images,729,-516861
the dynamics,212,0
sequences,210,0
motion,209,0
efficiency,208,0
java,207,0
a family,207,0
the art,205,0
the study,204,0
modelling,203,0
recent advances,203,0
vanets,201,0
erratum to,199,0
cellular automata,198,0
the problem,197,0
graph,193,0
users,193,0
genetic programming,192,0
distance,192,0
the editor,445,-253650
databases,190,0
equations,190,0
spectrum,189,0
part 2,189,0
papers,189,0
eds,188,0
joint,187,0
optimal design,187,0
language,186,0
the value,186,0
numerical solution,185,0
tool,183,0
change,183,0
the importance,181,0
behavior,180,0
the quality,180,0
calibration,177,0
society,177,0
mobile robots,177,0
comparative study,176,0
a theory,176,0
gis,175,0
concepts,174,0
respect,174,0
xml,174,0
complex,174,0
fpga,173,0
wsns,173,0
decomposition,173,0
programming,172,0
collaboration,172,0
users ',172,0
vehicles,210,-38430
minimization,171,0
twitter,171,0
feature,170,0
one,170,0
the construction,170,0
protocols,186,-16368
mobile,169,0
qos,169,0
sensitivity analysis,169,0
filter,168,0
part 1,168,0
education,289,-121091
manets,167,0
clusters,166,0
power control,166,0
multi-objective optimization,166,0
a new,166,0
search,165,0
local,165,0
interference,165,0
characteristics,164,0
matrices,164,0
interactions,164,0
this issue,163,0
resource allocation,414,-251712
role,162,0
ieee 802.11,162,0
india,162,0
stability,462,-300762
insights,182,-20930
extraction,272,-110976
spatial,161,0
presence,161,0
calculation,164,-3936
fpgas,160,0
case,159,0
electric vehicles,194,-35502
forecasting,158,0
some,158,0
a generalization,157,0
gpus,156,0
artificial intelligence,330,-174570
fuzzy,155,0
permutations,154,0
taiwan,154,0
ontologies,154,0
feedback,154,0
modulation,153,0
digital,153,0
a network,153,0
pricing,153,0
automata,153,0
convergence analysis,153,0
random,193,-40337
wavelet,152,0
smart grid,152,0
transactions,151,0
online,151,0
the convergence,151,0
algebras,151,0
comparative analysis,150,0
theorem,149,0
imaging,149,0
they,149,0
function,147,0
frequency,147,0
mode control,235,-88125
sparse representation,146,0
the potential,146,0
innovation,237,-91956
tree,145,0
correlation,145,0
future,145,0
content,145,0
smartphones,145,0
view,144,0
compression,144,0
polynomials,144,0
computers,144,0
the distribution,143,0
e-government,143,0
all,143,0
mathematics,143,0
number,142,0
the efficiency,142,0
a characterization,142,0
automatic,204,-62424
classes,141,0
sensitivity,141,0
transfer,141,0
three,141,0
interview,141,0
part i,140,0
history,139,0
real-time,139,0
the detection,191,-52334
healthcare,138,0
robotics,138,0
more,137,0
policy,136,0
salesman problem,136,0
gpu,136,0
inference,223,-87193
the state,135,0
social,135,0
ontology,135,0
interpolation,135,0
sentiment analysis,135,0
flow,154,-19250
potential,134,0
progress,134,0
the computation,134,0
prediction,783,-649890
mobility,133,0
cognitive radio,133,0
environments,133,0
editor 's,307,-174990
work,132,0
connectivity,132,0
case-based reasoning,132,0
the existence,132,0
message,131,0
impacts,131,0
e-commerce,131,0
least squares,131,0
the association,131,0
pattern,130,0
policies,130,0
lattices,130,0
database,129,0
exploration,129,0
response,129,0
electronic commerce,128,0
hypercubes,128,0
image,440,-312400
the field,127,0
value,127,0
matrix,126,0
sensors,126,0
best,126,0
variations,126,0
environment,126,0
the adoption,126,0
consistency,125,0
generalization,125,0
density,124,0
that,124,0
a solution,124,0
vehicle,151,-27633
the power,123,0
process,123,0
relationships,123,0
molecular dynamics,123,0
blockchain,123,0
der,122,0
global,122,0
surface,122,0
choice,122,0
propagation,122,0
higher education,209,-87571
vision,127,-5969
speech,121,0
classifiers,120,0
interest,120,0
massive mimo,120,0
adaptive,218,-98972
linear,119,0
observations,119,0
freedom,118,0
demand,118,0
energy,456,-338352
enhancing,270,-152820
the plane,117,0
event,117,0
cost,117,0
theories,117,0
the concept,117,0
entropy,116,0
programs,115,0
sources,115,0
relationship,115,0
navigation,115,0
multiple,115,0
partitioning,115,0
a novel,115,0
urban areas,115,0
attention,131,-16899
practices,114,0
the gap,114,0
representations,114,0
delay,114,0
the security,113,0
test,113,0
atilde,113,0
dea,113,0
architectures,112,0
scale,112,0
concept,112,0
the identification,112,0
remark,112,0
europe,111,0
effectiveness,111,0
automation,159,-48336
ethics,126,-15498
organizations,110,0
uncertainties,110,0
et al.,110,0
the optimization,110,0
proof,109,0
ofdm,109,0
algebra,109,0
usability,109,0
beyond,109,0
the university,109,0
authentication,108,0
metrics,108,0
designs,108,0
hypergraphs,108,0
china 's,108,0
group,107,0
order,107,0
present,107,0
events,107,0
water,107,0
adoption,107,0
existence,107,0
implementation,841,-734193
what,106,0
decision-making,106,0
mimo,106,0
metadata,106,0
queries,106,0
person re-identification,106,0
calculus,105,0
kernel,105,0
stochastic,105,0
fairness,105,0
partitions,105,0
alzheimer 's,105,0
face,104,0
the world,104,0
ai,104,0
resource,104,0
semidefinite programming,104,0
efficient algorithms,104,0
gf,104,0
chaos,103,0
edge,103,0
discussion,103,0
simulated annealing,158,-55774
prolog,102,0
human,102,0
hardware,102,0
a program,102,0
feature extraction,172,-70176
competition,146,-44822
arithmetic,101,0
grids,101,0
text,101,0
dimensionality reduction,101,0
life,101,0
robot,100,0
cognition,100,0
knowledge discovery,100,0
planar graphs,100,0
uavs,100,0
a proposal,100,0
description,99,0
ensemble,99,0
ranking,99,0
optimality,99,0
a taxonomy,99,0
the method,99,0
mri,99,0
devices,114,-15618
sampling,98,0
past,98,0
quantification,98,0
artifact,98,0
a problem,98,0
admission control,97,0
heuristic,97,0
grid,97,0
path,97,0
object recognition,97,0
its impact,97,0
evolution,364,-267540
some properties,96,0
diffusion,96,0
ieee,96,0
success,96,0
mapreduce,96,0
probabilistic,96,0
duality,96,0
the size,96,0
determinants,96,0
intrusion detection,132,-36168
fault detection,132,-36168
fuzzy logic,313,-217222
reference,95,0
cryptography,95,0
the brain,95,0
differential equations,95,0
wavelets,95,0
proteins,95,0
the calculation,97,-2328
encryption,94,0
maintenance,94,0
quantum,94,0
focus,94,0
consideration,94,0
numerical analysis,94,0
performance comparison,94,0
monitoring,293,-199826
higher order,93,0
game theory,93,0
agent,93,0
standardization,93,0
monte carlo,93,0
queues,92,0
semantic web,92,0
community,92,0
65-nm cmos,92,0
change detection,126,-34524
geometry,91,0
list,91,0
failure,91,0
distributions,91,0
a set,91,0
smart grids,91,0
higher,90,0
analytics,90,0
optimisation,90,0
regularization,90,0
interoperability,90,0
alignment,90,0
multiobjective optimization,90,0
2d,90,0
semigroups,90,0
ein,90,0
program,89,0
cmos,89,0
graphics,89,0
errata,89,0
ed,89,0
trends,236,-147264
image segmentation,305,-216550
numerical methods,88,0
nearest,88,0
point,88,0
sense,88,0
derivation,88,0
variable selection,88,0
buildings,88,0
type,87,0
handbook,87,0
limitations,87,0
perception,87,0
filters,87,0
hci,87,0
crowdsourcing,87,0
characterizations,87,0
m cmos,87,0
indexing,190,-103170
visual,106,-19186
transmission,130,-43810
translation,88,-1848
topology,86,0
parallel algorithms,86,0
coverage,86,0
nodes,86,0
predictive control,86,0
sdn,86,0
integration,630,-544320
corrections,101,-15655
placement,85,0
protection,85,0
collaborative filtering,85,0
industry,85,0
uml,85,0
recent developments,85,0
ip,85,0
gaussian,85,0
the literature,85,0
turkey,85,0
theoretical study,85,0
generation,293,-208323
them,84,0
lte,84,0
mean,84,0
deep,84,0
regions,84,0
load,84,0
quantitative analysis,84,0
robot manipulators,84,0
the simulation,129,-45279
engine,83,0
taxonomy,83,0
formation,83,0
discriminant analysis,83,0
a platform,83,0
enhancement,190,-107730
rule,82,0
the nature,82,0
region,82,0
recommendations,82,0
rfid,82,0
mobile phones,82,0
suppression,82,0
joint optimization,82,0
efficient computation,82,0
the behavior,82,0
ict,82,0
cryptologic,82,0
numerical simulation,125,-43875
und,81,0
matching,81,0
nonlinear equations,81,0
composition,81,0
the selection,81,0
library,81,0
static,81,0
the control,81,0
estimates,81,0
espa,81,0
wsn,81,0
topics,122,-41236
anomaly detection,111,-30414
field,80,0
storage,80,0
integer programming,80,0
parkinson 's,80,0
filtering,80,0
vector machine,80,0
a measure,80,0
a heuristic,80,0
time delay,80,0
model selection,80,0
ol,80,0
random graphs,101,-21109
preferences,134,-54136
the evolution,300,-220500
object detection,109,-29866
boolean functions,79,0
traffic,79,0
social network,79,0
game,79,0
large-scale,79,0
neurons,79,0
mitigation,79,0
optical,79,0
range,79,0
object,79,0
the cost,79,0
truth,79,0
ground,79,0
current,79,0
brazil,79,0
real time,79,0
the assessment,79,0
compressive sensing,79,0
the accuracy,206,-127308
logic,256,-177664
separation,78,0
japan,78,0
deployment,78,0
svm,78,0
robust control,78,0
controllability,78,0
feasibility,78,0
vehicular ad,78,0
cooperation,187,-109208
dynamic programming,133,-55328
decision,296,-218448
perspectives,234,-156780
data analysis,77,0
general,77,0
manet,77,0
health,77,0
participation,77,0
fuzzy clustering,77,0
kalman filter,77,0
bipartite graphs,77,0
a machine,77,0
a conjecture,77,0
adaptation,140,-63840
individuals,76,0
bioinformatics,76,0
cluster analysis,76,0
definition,76,0
interpretation,76,0
smes,76,0
equilibrium,76,0
enumeration,76,0
perceptions,76,0
the robustness,76,0
facebook,76,0
consumers ',76,0
channels,136,-60520
relational databases,75,0
throughput,75,0
part i.,75,0
music,75,0
spain,75,0
age,75,0
beamforming,75,0
uav,75,0
voice,74,0
interface,74,0
measure,74,0
probabilities,74,0
rate,74,0
radar,74,0
university,74,0
linear equations,74,0
cloud storage,74,0
mobile robot,74,0
relay selection,74,0
aggregation,190,-116090
nonlinear programming,73,0
logics,73,0
c++,73,0
quality assessment,73,0
usage,73,0
stochastic programming,73,0
on,73,0
english,73,0
$ \,73,0
transformation,137,-64664
induction,95,-22895
tcp,72,0
iii,72,0
loss,72,0
ann,72,0
