phrase,frequency,concordance_score,uniqueness,wiki_score,popularity,purity,suggested_query_score,computer science,python,machine learning,artificial intelligence,ai,deep learning,algorithms,code,architecture,api,software,framework,computer security,computer system,computer systems,label
unlabeled data,19,100.0,0.99675,1.0,6.666666666666667e-05,0.9923664122137404,2.5555555555555554,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,False
congruential generator,2,100.0,0.873475,0.9,9.425837320574162e-06,1.0427350427350428,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
human-robot interaction,46,85.71428571428571,0.906325,0.9,0.00010723981900452489,1.0727272727272728,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
role-based access,6,72.72727272727273,0.991925,0.9,4.424778761061947e-05,1.7391304347826086,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
socket layer,3,100.0,0.7988,0.85,3.0678733031674206e-05,0.9778761061946902,0.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True
dimensionality reduction,101,80.0,0.9312750000000001,0.7,0.00021283185840707965,0.5808625336927223,3.6,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,True
data-flow analysis,3,75.0,0.984375,0.8,4.841628959276018e-05,0.9814814814814815,0.4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,False
botnet detection,7,66.66666666666666,0.89855,0.9,1.1576354679802955e-05,0.9875518672199171,2.6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,True
floating point,3,75.0,0.814575,0.8,0.0006425339366515837,1.0909090909090908,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
semistructured data,10,100.0,0.99675,0.4,2.734513274336283e-05,0.6084142394822006,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
machine learning,497,30.708661417322837,0.954475,1.0,0.016310160427807488,0.8944954128440367,4.4,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,True
reinforcement learning,229,80.0,0.560925,0.9,0.0006902654867256637,0.9239766081871345,2.3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,True
case-based reasoning,132,80.0,0.77695,0.7,9.14027149321267e-05,0.9854368932038835,1.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False
multiagent systems,77,53.84615384615385,0.9922,0.8,0.0001320754716981132,0.6059957173447538,1.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,True
user-centered design,24,57.14285714285714,0.9939,0.65,0.00015294117647058822,0.9692737430167597,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
interprocedural analysis,4,28.57142857142857,0.984375,1.0,6.69811320754717e-06,1.0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
