phrase,frequency,concordance_score,uniqueness,wiki_score,popularity,purity,suggested_query_score,computer science,python,machine learning,artificial intelligence,ai,deep learning,algorithms,code,architecture,api,software,framework,computer security,computer system,computer systems,label
selfish behavior,1,40.0,0.481075,0.1,8.491379310344827e-06,0.9897959183673469,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
parallel computing,73,3.2490974729241873,0.84605,1.0,0.00075,1.0178571428571428,1.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,True
planning agent,1,2.0,0.94485,0.45,4.274509803921569e-06,1.6697247706422018,2.1999999999999997,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,False
vision systems,9,10.416666666666668,0.9450750000000001,0.35,0.00010336538461538461,0.6028169014084507,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
training data,21,16.43835616438356,0.9859,0.75,0.0033938053097345134,1.0065217391304349,1.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,True
parameter estimation,219,11.76470588235294,0.690825,0.2,0.0002671111111111111,0.957983193277311,2.7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,False
functional groups,2,0.7633587786259541,0.9357249999999999,0.0,0.0001288888888888889,1.013986013986014,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
trust management,42,2.9585798816568047,0.95755,0.1,6.180257510729614e-05,0.9423076923076923,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False
recursively enumerable,15,14.285714285714285,1.0,0.9,2.660944206008584e-05,1.0350584307178632,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
financial services,11,2.564102564102564,0.9846250000000001,0.0,0.003112676056338028,1.110032362459547,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
minimization problem,1,28.57142857142857,0.9862,0.7,8.325991189427313e-05,1.0098522167487685,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
chaos theory,6,0.0,0.787175,0.45,5.589041095890411e-05,1.0196078431372548,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
graph theory,48,3.79746835443038,0.8474999999999999,0.95,0.0006312997347480106,1.031496062992126,2.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,True
electronic commerce,128,22.66187050359712,0.925575,0.15,0.0007280334728033473,1.0344827586206897,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
web mapping,1,0.0,0.9051,0.55,2.959090909090909e-05,0.9779527559055118,1.1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,True
user inputs,1,0.16556291390728478,0.809025,0.85,4.6521739130434785e-05,1.009433962264151,1.8571428571428572,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False
wireless technologies,16,4.014598540145985,0.94145,0.25,0.00012613065326633167,1.0341880341880343,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
virtual world,4,5.980861244019139,0.95625,0.5,0.00018063063063063063,1.0946291560102301,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
