phrase,label
unlabeled data,False
congruential generator,True
human-robot interaction,True
role-based access,True
socket layer,True
dimensionality reduction,True
data-flow analysis,False
botnet detection,True
floating point,False
semistructured data,False
machine learning,True
reinforcement learning,True
case-based reasoning,False
multiagent systems,True
user-centered design,False
interprocedural analysis,False
operating systems,True
unsupervised learning,True
triangular mesh,True
signal processing,True
multi-agent systems,True
artificial intelligence,True
triangular meshes,True
access control,True
biometric systems,False
software development,True
satisfiability problems,True
receptive fields,False
discrete-event simulation,False
pseudo-random number,True
minimization problem,False
security requirements,False
side-channel attacks,False
supervised learning,True
discrete-event systems,False
inclusive design,False
exploiting parallelism,False
tacit knowledge,False
source code,True
face recognition,True
fine-grain parallelism,False
granular computing,False
knowledge-based systems,False
deep learning,True
elliptic curve,False
automata theory,False
training data,True
software security,True
network classifiers,False
logarithm problem,False
software requirements,True
requirements engineering,False
source software,False
expert systems,False
language model,True
optimization problem,False
image processing,True
public key,True
biometric technologies,False
stopping rules,False
object-oriented software,False
text summarization,True
secret key,False
user requirements,False
polygonal meshes,False
security model,False
integer programming,False
polynomial time,True
recursively enumerable,False
software engineering,True
visual programming,False
enterprise applications,True
injection attacks,False
secured connections,False
reconfigurable computing,True
support vector,False
computer graphics,True
autonomic computing,False
ad-hoc networks,False
application development,True
software testing,True
simulated annealing,False
software package,True
mandatory access,False
combinatorial optimization,True
finite state,False
range images,False
user interfaces,True
instant messaging,False
geographic information,False
functional programming,True
training samples,True
high-dimensional data,True
parallel computing,True
software tools,True
embedded systems,True
mobile games,False
search space,False
search algorithm,True
logic programming,True
stereo vision,True
performance analysis,False
ubiquitous computing,False
generative model,True
wearable computing,False
learning algorithm,False
computer vision,True
number generator,False
key infrastructure,False
combinatorial problems,False
hardware/software co-design,False
hardware/software codesign,False
grid computing,True
speech recognition,True
computing systems,True
data structures,True
shared memory,True
global optimization,False
information security,True
file systems,True
internet security,True
user experience,False
software quality,False
least squares,False
software support,False
algorithmic aspects,False
markup languages,True
web access,False
deductive databases,False
database systems,True
micropayment systems,True
fitness function,True
dynamic programming,True
vector machines,False
agent-based systems,False
feature extraction,True
recognition techniques,False
web services,True
handheld devices,False
image annotation,True
algorithmic techniques,False
physical security,False
cryptographic protocols,True
medical image,False
concurrent programs,True
optimization techniques,True
distributed computing,True
wavelet denoising,False
user behavior,False
machine intelligence,True
computer science,True
game interface,False
end user,False
virtual machine,True
privacy protection,False
software systems,True
intelligent agents,False
admission control,False
mobile applications,True
secure data,False
pattern recognition,False
game development,True
key exchange,False
parallel programs,True
virtual environment,True
log files,True
suffix trees,False
cellular automata,True
assistive technology,False
static code,False
private key,True
image classifiers,True
optimization technique,True
language processing,True
conversational agents,False
register allocation,False
web document,False
microarray data,False
key management,True
encrypted data,True
security protocols,False
dynamic program,False
block ciphers,True
reachability analysis,False
security controls,False
complexity theory,False
web usage,False
computational cost,True
cryptographic schemes,False
hidden layers,True
software developers,False
context-aware security,False
data mining,True
optimization algorithms,True
user interactions,False
computer games,False
memory access,True
decentralized systems,False
mesh processing,False
parallel computers,True
user data,False
security architecture,True
distributed memory,True
multimedia applications,False
automatic parallelization,False
knowledge representation,True
network topologies,True
spatiotemporal data,True
practical algorithms,False
parallel algorithms,True
information privacy,False
network computing,False
wide web,False
constraint programming,True
context-aware applications,False
images using,False
computer interaction,False
image data,False
computer systems,True
theorem proving,True
user profiles,False
maturity model,False
embedded devices,True
virtual environments,True
optimization methods,False
reverse engineering,True
machine translation,True
mobile computers,False
component analysis,False
case study,False
write operations,False
computational resources,True
vehicular networks,False
version 2.0,False
ambient intelligence,True
local minima,False
external memory,False
mobile computing,False
scientific computing,True
agent software,False
congestion control,False
networks using,False
cross site,False
approximation algorithm,True
key agreement,False
scheduling problems,False
optimization algorithm,True
computational time,False
number generators,False
equality constraints,False
multi-core systems,False
formal methods,False
background subtraction,False
signal analysis,True
image classification,True
feature vectors,True
game world,False
translation system,False
peer-to-peer computing,False
input data,False
text processing,True
computational methods,True
dictionary attack,True
sensor networks,True
computational analysis,True
information theory,False
runtime systems,True
attribute values,False
approximation algorithms,True
optimization models,False
knowledge bases,False
runtime performance,False
service attacks,False
step size,False
transaction processing,False
kernel methods,False
tree structures,True
software fault,False
association rules,False
image analysis,True
particle swarm,False
hash functions,True
software metrics,False
private information,False
chosen plaintext,False
network model,False
object-oriented analysis,False
malicious code,True
model checking,False
network architecture,True
computational systems,True
evolutionary algorithms,True
transitive closure,False
active contours,False
input space,False
digital images,False
knowledge base,False
multimodal biometrics,False
computational complexity,True
signature schemes,False
privacy enhancing,False
robot path,False
data access,False
management support,False
computational models,True
security breaches,False
sensitivity analysis,False
object recognition,True
computational efficiency,True
smart cards,False
parallel scheduling,False
autonomous agents,True
missing data,False
data storage,True
ensemble methods,False
usability engineering,False
video games,False
object management,False
rapid prototyping,False
decision support,False
configuration management,False
activation functions,False
network function,False
error detection,False
terrorist networks,False
social networks,True
logic programs,False
stream processing,True
recognition performance,False
genetic algorithms,True
large networks,False
log n,False
risk management,False
systems development,False
network approach,False
artificial data,False
functional specification,False
user inputs,False
domain experts,False
serious games,False
image segmentation,True
image understanding,False
spam filtering,True
digital signature,True
network traffic,True
information systems,True
computer worms,True
conceptual model,False
network theory,False
numerical methods,True
model databases,False
group key,False
feature space,False
proof system,False
spatial data,False
channel coding,False
gesture recognition,True
extract features,False
social network,True
performance modeling,False
fuzzy logic,True
large graphs,False
information gain,False
usability evaluation,False
visual interfaces,False
remote access,False
hash function,True
cache management,False
network models,False
model optimization,False
dynamic scheduling,False
hoc networks,False
hardware description,False
integrity checks,False
sample images,False
data set,False
complex systems,False
image domain,False
network design,False
parallel architectures,True
loss functions,True
morphological filtering,False
virtual world,False
outsourced data,False
higher order,False
temporal logic,True
fuzzy sets,False
tool environments,False
formal analysis,False
entertainment applications,False
visual analysis,False
decision trees,True
application areas,False
motion planning,True
parallel data,False
network based,False
wireless networks,True
audit logs,False
efficient data,False
network protocols,False
nearest neighbors,True
queueing system,False
block cipher,True
scheduling model,False
