phrase,concordance_score
object management,0.796812749003984
relational databases,10.833333333333334
database machine,0.4016064257028112
spatial concepts,0.6622516556291391
knowledge-based systems,16.666666666666664
application development,4.41988950276243
logic programs,2.898550724637681
machine translation,0.7874015748031495
phrase structure,12.5
logic programs,2.898550724637681
correctness proof,18.181818181818183
integrity checks,3.225806451612903
write operations,6.896551724137931
representation system,3.1746031746031744
machine translation,0.7874015748031495
correctness proof,18.181818181818183
version 2.0,17.647058823529413
casual users,14.285714285714285
knowledge processing,2.307692307692308
mathematical logic,1.5873015873015872
artificial intelligence,30.88235294117647
software development,12.056737588652481
algebraic specifications,4.0
database systems,10.441767068273093
knowledge representation,5.769230769230769
temporal reasoning,0.9009009009009009
machine translation,0.7874015748031495
level analysis,0.26666666666666666
machine translation,0.7874015748031495
natural language,27.857142857142858
logic programs,2.898550724637681
planning systems,2.0
spatial knowledge,1.9867549668874174
transitive closure,33.33333333333333
new aspects,0.06872852233676977
stability analysis,28.57142857142857
wireless networks,13.86861313868613
communication protocols,2.3890784982935154
numerical solution,1.8181818181818181
input data,12.371134020618557
design problems,0.46728971962616817
fast generation,0.7194244604316548
approximation results,3.7037037037037033
numerical methods,3.6363636363636362
design problems,0.46728971962616817
interprocedural analysis,28.57142857142857
numerical solution,1.8181818181818181
partitioning techniques,3.225806451612903
automatic parallelization,2.1052631578947367
comparative study,20.689655172413794
efficient sets,0.2717391304347826
design problems,0.46728971962616817
optimization problems,5.806451612903226
optimization problems,5.806451612903226
binary images,3.7037037037037033
global convergence,1.0582010582010581
computational complexity,14.572864321608039
usability evaluation,19.672131147540984
reachability analysis,14.285714285714285
approximation results,3.7037037037037033
discrete time,1.8181818181818181
nonlinear equations,4.838709677419355
discrete time,1.8181818181818181
decision trees,3.428571428571429
optimal allocation,2.2222222222222223
stochastic processes,3.3333333333333335
one step,0.437636761487965
performance analysis,3.3210332103321036
communication protocols,2.3890784982935154
parameter estimation,11.76470588235294
polynomial time,41.37931034482759
communication networks,1.3651877133105803
computational complexity,14.572864321608039
utility function,3.4482758620689653
processor allocation,1.282051282051282
global optimization,3.1746031746031744
computational complexity,14.572864321608039
general systems,0.42194092827004215
probability measures,3.3333333333333335
case study,56.14035087719298
integer multiplication,2.272727272727273
order statistics,1.680672268907563
computer-aided design,50.0
theoretical problems,1.0101010101010102
approximation algorithms,11.11111111111111
register allocation,18.181818181818183
continuous time,4.545454545454546
lower bounds,2.2222222222222223
large scale,6.652360515021459
formal verification,2.312138728323699
lower bounds,2.2222222222222223
combinatorial optimization,20.833333333333336
global optimization,3.1746031746031744
optimization problems,5.806451612903226
parallel programs,5.415162454873646
stability conditions,14.285714285714285
first edition,0.24330900243309003
query algebra,0.7407407407407408
logic programming,23.18840579710145
source code,18.96551724137931
data warehouses,1.1264080100125156
private key,1.7857142857142856
higher order,2.0689655172413794
video surveillance,1.1029411764705883
proof system,7.142857142857142
information security,4.409857328145266
public key,14.285714285714285
proxy signatures,1.9230769230769231
cryptographic schemes,2.3255813953488373
chosen plaintext,4.545454545454546
markup language,20.0
hash functions,22.727272727272727
social perspectives,0.49019607843137253
information privacy,0.12970168612191957
biometric systems,30.76923076923077
key infrastructure,0.6097560975609756
public key,14.285714285714285
proxy signatures,1.9230769230769231
human ear,0.3215434083601286
group key,22.105263157894736
dictionary attack,9.090909090909092
hash function,18.181818181818183
false data,2.5
formal methods,4.624277456647398
socket layer,100.0
key agreement,3.6585365853658534
temporal access,0.9009009009009009
formal analysis,0.5780346820809248
formal analysis,0.5780346820809248
cryptographic protocols,6.976744186046512
video surveillance,1.1029411764705883
data mining,4.693366708385482
wireless networks,13.86861313868613
dictionary attack,9.090909090909092
big number,4.545454545454546
radio frequency,16.666666666666664
time synchronization,1.06544901065449
outsourced data,16.666666666666664
chosen plaintext,4.545454545454546
secret key,29.03225806451613
role-based access,72.72727272727273
reverse engineering,18.91891891891892
still images,1.5873015873015872
software security,1.0638297872340425
third party,27.692307692307693
control rules,0.5813953488372093
audit logs,12.5
dictionary attack,9.090909090909092
botnet detection,66.66666666666666
dynamic program,0.4576659038901602
formal methods,4.624277456647398
intrusion detection,82.25806451612904
digital signature,3.731343283582089
key management,4.573170731707317
group communication,1.0526315789473684
electronic voting,6.115107913669065
digital signatures,2.9850746268656714
evaluation criteria,0.7246376811594203
elliptic curve,100.0
theorem proving,62.5
integrated circuit,1.7699115044247788
location information,11.538461538461538
general overview,0.8438818565400843
multidimensional databases,8.19672131147541
hash function,18.181818181818183
logarithm problem,50.0
radio frequency,16.666666666666664
conceptual design,5.737704918032787
service security,0.4796163069544364
formal methods,4.624277456647398
third party,27.692307692307693
intrusion detection,82.25806451612904
block ciphers,1.7857142857142856
keyword-based retrieval,20.0
encrypted data,13.333333333333334
formal methods,4.624277456647398
chosen plaintext,4.545454545454546
block ciphers,1.7857142857142856
pseudo-random number,33.33333333333333
static code,1.8867924528301887
block ciphers,1.7857142857142856
key exchange,3.9634146341463414
cellular networks,4.651162790697675
signature schemes,21.428571428571427
logarithm problem,50.0
block cipher,3.571428571428571
secure data,3.875968992248062
network security,1.9677996422182469
bilinear pairings,50.0
injection attacks,42.10526315789473
routing protocols,15.04424778761062
electronic voting,6.115107913669065
broadcast authentication,8.0
encrypted data,13.333333333333334
virtual machine,2.8708133971291865
evaluation criteria,0.7246376811594203
human ear,0.3215434083601286
congruential generator,100.0
big number,4.545454545454546
evaluation methods,3.6231884057971016
trust management,2.9585798816568047
access control,35.12544802867383
cross site,4.166666666666666
secondary use,5.555555555555555
static program,0.9433962264150944
biometric technologies,15.384615384615385
network capabilities,0.17889087656529518
formal methods,4.624277456647398
physical properties,0.7936507936507936
wireless communication,0.36496350364963503
buffer overflow,11.904761904761903
digital signature,3.731343283582089
human ear,0.3215434083601286
signature schemes,21.428571428571427
privacy protection,17.543859649122805
biometric systems,30.76923076923077
data mining,4.693366708385482
socket layer,100.0
security policy,3.3816425120772946
application security,0.8287292817679558
web browser,0.8746355685131195
access control,35.12544802867383
human ear,0.3215434083601286
elliptic curve,100.0
signature schemes,21.428571428571427
mandatory access,33.33333333333333
broadcast authentication,8.0
algorithmic complexity,12.5
random number,3.79746835443038
elliptic curve,100.0
private information,21.428571428571427
formal methods,4.624277456647398
access control,35.12544802867383
web access,0.2915451895043732
software security,1.0638297872340425
congruential generator,100.0
number generator,10.526315789473683
chosen plaintext,4.545454545454546
block cipher,3.571428571428571
elliptic curve,100.0
signature schemes,21.428571428571427
genetic programming,3.6363636363636362
genetic programming,3.6363636363636362
genetic programming,3.6363636363636362
genetic programming,3.6363636363636362
genetic programming,3.6363636363636362
genetic programming,3.6363636363636362
new generation,0.6185567010309279
image classification,0.6085192697768762
genetic programming,3.6363636363636362
breast cancer,33.33333333333333
genetic programming,3.6363636363636362
object-oriented software,6.315789473684211
genetic programming,3.6363636363636362
home environments,3.225806451612903
assistive technology,50.0
cognitive impairment,0.9174311926605505
older adults,10.0
daily living,7.6923076923076925
key concepts,0.9146341463414633
effective framework,0.43478260869565216
senior citizens,11.11111111111111
patient monitoring,6.666666666666667
older adults,10.0
human factors,2.2508038585209005
intrusion detection,82.25806451612904
social networks,3.9215686274509802
security requirements,8.695652173913043
social networks,3.9215686274509802
human behavior,1.607717041800643
social communities,0.49019607843137253
social networks,3.9215686274509802
data analysis,1.4392991239048811
social networking,0.49019607843137253
social networks,3.9215686274509802
fuzzy sets,0.8620689655172413
social networks,3.9215686274509802
social networks,3.9215686274509802
social network,4.411764705882353
log files,13.157894736842104
online advertising,3.088803088803089
social networks,3.9215686274509802
qualitative analysis,6.451612903225806
social networks,3.9215686274509802
discovering communities,13.333333333333334
social networks,3.9215686274509802
social networks,3.9215686274509802
terrorist networks,60.0
collaborative filtering,6.0344827586206895
ubiquitous computing,55.91397849462365
ubiquitous computing,55.91397849462365
context awareness,1.1904761904761905
mobile communications,0.4285714285714286
peer-to-peer systems,14.285714285714285
ubiquitous computing,55.91397849462365
business processes,13.347921225382933
binary decision,1.8518518518518516
hardware description,0.9345794392523363
performance modeling,0.18450184501845018
basic theory,2.358490566037736
logic design,1.4492753623188406
two phases,0.5549389567147613
semiconductor devices,16.666666666666664
logic devices,1.4492753623188406
two levels,0.3329633740288568
higher education,2.0689655172413794
computer mediated,0.18214936247723132
online research,0.3861003861003861
knowledge communication,0.38461538461538464
online collaboration,0.7722007722007722
instant messaging,66.66666666666666
accessible design,4.761904761904762
social interaction,14.215686274509803
higher order,2.0689655172413794
online courses,1.1583011583011582
educational settings,2.1739130434782608
higher education,2.0689655172413794
2.0 technologies,14.285714285714285
artificial intelligence,30.88235294117647
financial services,2.564102564102564
home appliances,4.838709677419355
sensor networks,33.33333333333333
design automation,0.11682242990654204
computer-aided design,50.0
automatic control,1.5789473684210527
human factors,2.2508038585209005
advanced techniques,1.5625
decision support,11.428571428571429
agent software,0.5524861878453038
virtual reality,5.980861244019139
control system,3.488372093023256
food processing,25.0
large-scale complex,3.508771929824561
serious games,5.405405405405405
warehouse systems,5.555555555555555
semiconductor manufacturing,50.0
automatic control,1.5789473684210527
systems biology,0.31746031746031744
augmented reality,55.932203389830505
artificial intelligence,30.88235294117647
simulation techniques,1.1494252873563218
augmented reality,55.932203389830505
educational games,2.1739130434782608
motion planning,1.0582010582010581
computer games,6.9216757741347905
virtual reality,5.980861244019139
computer games,6.9216757741347905
stress reduction,37.5
computer games,6.9216757741347905
video games,7.352941176470589
game interface,0.5899705014749262
computer games,6.9216757741347905
virtual environments,7.655502392344498
mixed reality,66.0377358490566
interactive art,1.1904761904761905
virtual reality,5.980861244019139
serious games,5.405405405405405
virtual reality,5.980861244019139
modern society,2.727272727272727
digital rights,1.8656716417910446
video games,7.352941176470589
augmented reality,55.932203389830505
innovative technology,2.2222222222222223
virtual reality,5.980861244019139
virtual reality,5.980861244019139
virtual reality,5.980861244019139
virtual reality,5.980861244019139
game world,0.5899705014749262
augmented reality,55.932203389830505
public health,0.7142857142857143
serious games,5.405405405405405
user experience,6.291390728476822
video games,7.352941176470589
cultural heritage,5.263157894736842
virtual reality,5.980861244019139
virtual reality,5.980861244019139
augmented reality,55.932203389830505
virtual reality,5.980861244019139
new media,0.48109965635738833
virtual reality,5.980861244019139
complex systems,4.026845637583892
video games,7.352941176470589
augmented reality,55.932203389830505
future trends,1.694915254237288
school education,9.523809523809524
cellular automata,13.953488372093023
conceptual model,21.311475409836063
cultural heritage,5.263157894736842
mixed reality,66.0377358490566
virtual reality,5.980861244019139
virtual reality,5.980861244019139
interest management,18.75
genetic algorithm,61.81818181818181
virtual reality,5.980861244019139
video games,7.352941176470589
spatiotemporal data,25.0
virtual reality,5.980861244019139
video games,7.352941176470589
character animation,5.357142857142857
triangular mesh,50.0
game loop,0.2949852507374631
virtual reality,5.980861244019139
pervasive games,11.428571428571429
user-centered design,57.14285714285714
virtual environments,7.655502392344498
augmented reality,55.932203389830505
virtual world,5.980861244019139
mesh processing,2.7027027027027026
video games,7.352941176470589
virtual reality,5.980861244019139
virtual reality,5.980861244019139
eye tracking,8.333333333333332
virtual reality,5.980861244019139
serious games,5.405405405405405
interactive computer,1.488095238095238
computer graphics,7.285974499089254
video games,7.352941176470589
television series,30.0
augmented reality,55.932203389830505
human-robot interaction,85.71428571428571
information visualization,0.648508430609598
virtual environments,7.655502392344498
virtual reality,5.980861244019139
virtual reality,5.980861244019139
operating systems,35.0
game theory,1.7699115044247788
computer interaction,4.371584699453552
robot path,2.0
recognition techniques,1.7094017094017095
portable devices,9.090909090909092
programmable logic,11.76470588235294
multicast protocols,11.11111111111111
rapid prototyping,11.11111111111111
nonlinear programming,1.6129032258064515
neural networks,22.388059701492537
finite element,8.333333333333332
statistical methods,0.9900990099009901
temporal databases,2.7027027027027026
computing systems,11.952191235059761
information systems,10.116731517509727
system architectures,0.5382131324004306
user interfaces,4.13907284768212
design techniques,0.35046728971962615
information technology,4.539559014267185
complexity theory,1.7543859649122806
parallel programming,3.2490974729241873
multiagent systems,53.84615384615385
real-time systems,4.2105263157894735
web intelligence,0.2915451895043732
computer science,15.482695810564662
operating systems,35.0
financial applications,2.564102564102564
stock markets,6.25
motion planning,1.0582010582010581
virtual memory,1.9138755980861244
software engineering,8.51063829787234
access control,35.12544802867383
information flow,1.556420233463035
visual programming,2.3696682464454977
software engineering,8.51063829787234
program transformation,1.2
edge detection,11.11111111111111
range images,24.137931034482758
interconnection networks,18.181818181818183
parallel computers,1.444043321299639
tactile sensors,5.555555555555555
failure detectors,15.909090909090908
shared memory,18.181818181818183
surveillance systems,13.636363636363635
software quality,1.0638297872340425
classification models,0.8
database systems,10.441767068273093
point models,0.6134969325153374
computer games,6.9216757741347905
network architectures,0.17889087656529518
wide area,3.4013605442176873
active contours,1.6528925619834711
parallel architectures,3.2490974729241873
transaction processing,9.375
cognitive systems,1.3761467889908259
wireless systems,0.7299270072992701
project management,10.76923076923077
ray tracing,10.0
genetic algorithms,23.636363636363637
object-oriented analysis,2.1052631578947367
medical image,8.88888888888889
software engineering,8.51063829787234
geometric modeling,8.13953488372093
computer vision,5.100182149362477
projective geometry,9.090909090909092
expert systems,19.51219512195122
spatial databases,3.9735099337748347
control systems,4.941860465116279
deductive databases,12.5
color models,0.8403361344537815
knowledge management,5.384615384615385
sensor networks,33.33333333333333
large databases,1.2875536480686696
distance education,5.88235294117647
computer science,15.482695810564662
operating systems,35.0
integer programming,20.454545454545457
information systems,10.116731517509727
software engineering,8.51063829787234
telecommunications systems,8.333333333333332
software testing,0.9456264775413712
input devices,4.639175257731959
collaborative development,0.8620689655172413
congestion control,60.0
image segmentation,4.259634888438134
software metrics,0.3546099290780142
network security,1.9677996422182469
compression codes,2.127659574468085
data storage,0.5632040050062578
computer systems,5.100182149362477
decentralized systems,6.666666666666667
file systems,11.956521739130435
web services,16.909620991253643
computational modeling,0.5025125628140703
population density,11.76470588235294
information theory,0.9079118028534372
evolutionary algorithms,11.538461538461538
network theory,0.17889087656529518
numerical integration,1.8181818181818181
model databases,0.23201856148491878
speech processing,4.444444444444445
collision avoidance,15.0
reinforcement learning,80.0
computational models,1.507537688442211
decision making,34.285714285714285
computational models,1.507537688442211
statistical analysis,10.891089108910892
electron microscopy,100.0
information geometry,0.12970168612191957
biological processes,2.083333333333333
software tools,0.4728132387706856
computational models,1.507537688442211
general overview,0.8438818565400843
space exploration,2.803738317757009
action selection,2.666666666666667
computational methods,1.0050251256281406
network models,0.8944543828264758
hierarchical models,1.0
network models,0.8944543828264758
computational models,1.507537688442211
correlation analysis,6.8181818181818175
model optimization,0.23201856148491878
comparative analysis,13.793103448275861
large scale,6.652360515021459
evolutionary algorithms,11.538461538461538
neural field,1.4925373134328357
drug design,40.0
computational models,1.507537688442211
metric space,3.125
fitness function,40.0
source localization,1.1494252873563218
computational models,1.507537688442211
computational models,1.507537688442211
data analysis,1.4392991239048811
information theory,0.9079118028534372
transfer function,5.555555555555555
computational models,1.507537688442211
network models,0.8944543828264758
computational analysis,0.5025125628140703
stereo vision,7.954545454545454
dynamical systems,26.666666666666668
network structure,0.35778175313059035
sensory input,16.666666666666664
balance control,4.3478260869565215
independent component,3.3707865168539324
computational models,1.507537688442211
receptive fields,100.0
project management,10.76923076923077
requirements engineering,16.363636363636363
functional programming,3.816793893129771
object-oriented analysis,2.1052631578947367
human factors,2.2508038585209005
virtual teams,0.4784688995215311
software fault,0.1182033096926714
formal requirements,0.5780346820809248
source software,4.597701149425287
software testing,0.9456264775413712
formal methods,4.624277456647398
requirements engineering,16.363636363636363
computing systems,11.952191235059761
formal methods,4.624277456647398
requirements engineering,16.363636363636363
software engineering,8.51063829787234
autonomic systems,9.523809523809524
software engineering,8.51063829787234
project management,10.76923076923077
success factors,31.57894736842105
key components,0.6097560975609756
network security,1.9677996422182469
heterogeneous networks,3.0927835051546393
elliptic curve,100.0
clustering techniques,2.1505376344086025
data warehouses,1.1264080100125156
internet security,1.8181818181818181
smart phones,4.761904761904762
distributed environment,2.13903743315508
mobile networks,1.2857142857142856
mobile communications,0.4285714285714286
coding techniques,9.090909090909092
intelligent agents,5.5045871559633035
network security,1.9677996422182469
wireless networks,13.86861313868613
access control,35.12544802867383
mobile terminals,0.7142857142857143
effective methods,1.7391304347826086
physical security,1.1904761904761905
intrusion detection,82.25806451612904
wireless networks,13.86861313868613
video communication,0.7352941176470588
multimedia applications,11.607142857142858
smart phones,4.761904761904762
operating systems,35.0
performance issues,1.6605166051660518
security risk,1.610305958132045
access control,35.12544802867383
architectural design,7.462686567164178
data communications,0.1251564455569462
data warehouses,1.1264080100125156
security policies,2.254428341384863
video communications,0.3676470588235294
time synchronization,1.06544901065449
multicast protocols,11.11111111111111
mobile devices,10.857142857142858
intrusion detection,82.25806451612904
mobile communications,0.4285714285714286
mobile stations,0.2857142857142857
key management,4.573170731707317
wireless networks,13.86861313868613
management commitment,0.35842293906810035
risk analysis,11.76470588235294
energy efficiency,12.8
biological cells,2.083333333333333
systems development,2.5396825396825395
network security,1.9677996422182469
wireless networks,13.86861313868613
location-based services,4.166666666666666
data access,0.5006257822277848
risk management,28.235294117647058
physical security,1.1904761904761905
information flow,1.556420233463035
web applications,3.498542274052478
wireless internet,1.824817518248175
video communication,0.7352941176470588
network computing,0.8944543828264758
information flow,1.556420233463035
covert channels,20.0
effective methods,1.7391304347826086
mobile systems,0.2857142857142857
physical security,1.1904761904761905
data centers,0.0625782227784731
mobile systems,0.2857142857142857
wireless channels,1.094890510948905
information security,4.409857328145266
case study,56.14035087719298
wide web,2.0408163265306123
mobile devices,10.857142857142858
resource management,10.0
socket layer,100.0
risk management,28.235294117647058
systems management,1.2698412698412698
media streaming,1.8018018018018018
physical security,1.1904761904761905
wireless networks,13.86861313868613
role-based access,72.72727272727273
communication systems,3.4129692832764507
user data,1.1589403973509933
network protocols,0.7155635062611807
electronic commerce,22.66187050359712
grid environment,9.615384615384617
malicious code,5.263157894736842
digital investigations,0.3731343283582089
information assurance,0.648508430609598
network architectures,0.17889087656529518
processing concepts,1.282051282051282
covert channels,20.0
video communication,0.7352941176470588
information security,4.409857328145266
performance evaluation,4.612546125461255
new methods,0.5498281786941581
mobile games,1.0
security breaches,0.1610305958132045
wireless communications,0.7299270072992701
key management,4.573170731707317
configuration management,8.0
security controls,0.322061191626409
single sign-on,0.7462686567164178
data centers,0.0625782227784731
physical security,1.1904761904761905
mobile communications,0.4285714285714286
power control,5.88235294117647
malicious code,5.263157894736842
cellular networks,4.651162790697675
neural networks,22.388059701492537
information assurance,0.648508430609598
network technologies,0.7155635062611807
resource allocation,12.5
game theory,1.7699115044247788
information assurance,0.648508430609598
mobile communications,0.4285714285714286
admission control,50.0
auditory interfaces,8.333333333333332
mobile devices,10.857142857142858
malicious code,5.263157894736842
case study,56.14035087719298
user mobility,0.16556291390728478
wireless communications,0.7299270072992701
physical security,1.1904761904761905
optical networks,6.25
resource management,10.0
remote access,3.3333333333333335
risk management,28.235294117647058
ongoing development,2.2222222222222223
channel assignment,3.076923076923077
artificial intelligence,30.88235294117647
risk analysis,11.76470588235294
service attacks,1.4388489208633095
optical networks,6.25
wireless networks,13.86861313868613
system design,4.090419806243272
body area,1.4925373134328357
effective methods,1.7391304347826086
video streaming,0.7352941176470588
