phrase,computer science,python,machine learning,artificial intelligence,ai,deep learning,algorithm,algorithms,code,architecture,api,software,framework,computer security,computer system,computer systems
congruential generator,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
human-robot interaction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
role-based access,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
socket layer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dimensionality reduction,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
botnet detection,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
machine learning,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
reinforcement learning,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
multiagent systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
operating systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unsupervised learning,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
triangular mesh,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
signal processing,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
multi-agent systems,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
artificial intelligence,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
triangular meshes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
access control,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
software development,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
satisfiability problems,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
pseudo-random number,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
supervised learning,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
source code,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
face recognition,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
deep learning,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
training data,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
software security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
software requirements,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
language model,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image processing,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0
public key,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
text summarization,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0
polynomial time,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
software engineering,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
enterprise applications,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reconfigurable computing,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
