phrase,purity
inheritance,0.08224043715846995
semantics,0.20934343434343433
machine translation,0.034829931972789115
at,0.008581081081081082
machine translation,0.034829931972789115
mathematical logic,0.20934065934065935
artificial intelligence,0.9187898089171974
software development,0.3468118195956454
knowledge representation,0.6038167938931298
arithmetic,0.4581818181818182
machine translation,0.034829931972789115
an,0.010588235294117647
belief revision,0.39669421487603307
prolog,0.059109730848861286
machine translation,0.034829931972789115
semantics,0.20934343434343433
method,0.12778904665314403
method,0.12778904665314403
we,0.012989493791786055
algorithm,0.6808
queue,0.012604422604422605
queueing theory,0.33505154639175255
matching,0.06833333333333333
hilbert space,0.14183006535947712
computation,0.8851351351351351
their,0.027732793522267207
optimal control,0.19261744966442954
queue,0.012604422604422605
queue,0.012604422604422605
calculus,0.5351089588377724
means,0.088
or,0.009327846364883402
use,0.020035149384885764
one,0.01213235294117647
means,0.088
two,0.03204301075268817
means,0.088
tree,0.017513227513227512
formal verification,0.4375
probability,0.4984423676012461
combinatorial optimization,0.5761194029850746
method,0.12778904665314403
class,0.04689922480620155
logic programming,0.5198776758409785
unix,0.19448946515397084
source code,0.1425
cryptography,0.924812030075188
malware,0.044467640918580374
entropy,0.2892703862660944
bit,0.03911764705882353
stack,0.109009009009009
information privacy,0.03462532299741602
encryption,0.13681917211328976
algorithm,0.6808
cryptography,0.924812030075188
malware,0.044467640918580374
hash function,0.23939393939393938
encryption,0.13681917211328976
stack,0.109009009009009
formal methods,0.5906976744186047
data mining,0.7155555555555555
identification,0.14884615384615385
encryption,0.13681917211328976
identification,0.14884615384615385
authentication,0.03964285714285714
storage,0.031153846153846153
memory,0.06163793103448276
set,0.02638623326959847
algorithms,0.8522588522588522
authentication,0.03964285714285714
sequence,0.28480392156862744
authentication,0.03964285714285714
formal methods,0.5906976744186047
key management,0.06726384364820846
geometry,0.22536231884057972
permutations,0.3229166666666667
matrix,0.12378378378378378
authentication,0.03964285714285714
hash function,0.23939393939393938
list,0.028603603603603603
computation,0.8851351351351351
integer,0.37777777777777777
formal methods,0.5906976744186047
encryption,0.13681917211328976
encryption,0.13681917211328976
sequence,0.28480392156862744
authentication,0.03964285714285714
formal methods,0.5906976744186047
temperature,0.038263665594855306
algorithm,0.6808
geometry,0.22536231884057972
identification,0.14884615384615385
authentication,0.03964285714285714
geometry,0.22536231884057972
method,0.12778904665314403
algorithm,0.6808
probability,0.4984423676012461
virtual machine,0.1400208986415883
identification,0.14884615384615385
identification,0.14884615384615385
multiplication,0.2703180212014134
authentication,0.03964285714285714
access control,0.035262593783494105
matrix,0.12378378378378378
computation,0.8851351351351351
permutations,0.3229166666666667
cryptography,0.924812030075188
database,0.12045779685264664
encryption,0.13681917211328976
authentication,0.03964285714285714
computation,0.8851351351351351
formal methods,0.5906976744186047
malware,0.044467640918580374
encryption,0.13681917211328976
sequence,0.28480392156862744
sequence,0.28480392156862744
authentication,0.03964285714285714
method,0.12778904665314403
algorithm,0.6808
authentication,0.03964285714285714
data mining,0.7155555555555555
authentication,0.03964285714285714
authentication,0.03964285714285714
matrix,0.12378378378378378
set,0.02638623326959847
access control,0.035262593783494105
proton,0.013324538258575198
cryptography,0.924812030075188
malware,0.044467640918580374
integer,0.37777777777777777
algorithm,0.6808
matrix,0.12378378378378378
authentication,0.03964285714285714
one,0.01213235294117647
bit,0.03911764705882353
collision,0.08318181818181818
formal methods,0.5906976744186047
access control,0.035262593783494105
algorithm,0.6808
arithmetic,0.4581818181818182
software,0.09166666666666666
evolutionary computation,0.6930434782608695
genetic programming,0.3785234899328859
genetic programming,0.3785234899328859
genetic programming,0.3785234899328859
genetic programming,0.3785234899328859
genetic programming,0.3785234899328859
genetic programming,0.3785234899328859
genetic programming,0.3785234899328859
use,0.020035149384885764
genetic programming,0.3785234899328859
genetic programming,0.3785234899328859
what,0.017245817245817245
them,0.03753424657534247
them,0.03753424657534247
ubiquitous computing,0.5326388888888889
ubiquitous computing,0.5326388888888889
bionics,0.06402116402116402
ubiquitous computing,0.5326388888888889
memory,0.06163793103448276
semiconductor devices,0.08316831683168317
internet,0.046
and,0.004091754494730316
or,0.009327846364883402
nor,0.06888888888888889
and,0.004091754494730316
or,0.009327846364883402
computer,0.051452282157676346
interface,0.09324817518248175
far,0.05903846153846154
computer,0.051452282157676346
computer,0.051452282157676346
artificial intelligence,0.9187898089171974
cybernetics,0.5983471074380166
automation,0.09478527607361963
robotics,0.39217877094972065
automation,0.09478527607361963
automation,0.09478527607361963
automation,0.09478527607361963
automation,0.09478527607361963
automation,0.09478527607361963
automation,0.09478527607361963
automation,0.09478527607361963
