	Words Popularity in CS	Purity in CS	Raw number: CS and keyword	Arxiv Pop	Arxiv Pur	Arxiv Single Word Count	label
"  Abstract data type
"	0.0008819444444444444	0.5473251028806584	125236	0.00040071942446043166	0.9771929824561404	548.0	1
"  Abstract method
"	0.00022430555555555555	0.12857142857142856	31851	7.122302158273382e-05	0.28125	354.0	1
"  Abstraction
"	0.041805555555555554	0.21014492753623187	5936388	0.009424460431654676	0.4337748344370861	25600.0	1
"  Agent architecture
"	0.0006208333333333334	0.3629787234042553	88158	0.00024676258992805756	0.5774410774410774	723.0	1
"  Agent-based model
"	0.0010625	0.20133333333333334	150875	0.000625179856115108	0.3670995670995671	2270.0	1
"  Aggregate function
"	0.0002347222222222222	0.10759493670886076	33330	0.00021294964028776978	0.581532416502947	524.0	1
"  Agile software development
"	0.005611111111111111	0.22103559870550163	796777	0.0003446043165467626	0.7335375191424196	651.0	1
"  Algorithm
"	0.5756944444444444	0.6808	81748611	0.08920863309352518	0.048214285714285716	2780000.0	1
"  Algorithm design
"	0.004451388888888889	0.4661764705882353	632097	0.0017122302158273381	0.536036036036036	4400.0	1
"  Algorithmic efficiency
"	0.00042916666666666667	0.6397146254458977	60941	0.00039712230215827336	0.847926267281106	927.0	1
"  ASCII
"	0.012847222222222222	0.050720461095100866	1824305	0.0007338129496402878	0.2841225626740947	3610.0	1
"  Application programming interface
"	0.0023125	0.1010752688172043	328375	0.0004733812949640288	0.540625	1280.0	1
"  Application software
"	0.008611111111111111	0.06574585635359116	1222777	0.0003611510791366906	0.55	857.0	1
"  Array data structure
"	0.00032708333333333336	0.36511627906976746	46445	8.129496402877698e-05	0.5159817351598174	252.0	1
"  Artifact
"	0.011666666666666667	0.0164	1656666	0.0029424460431654678	0.11055408970976253	38100.0	1
"  Artificial intelligence
"	0.4340277777777778	0.7984189723320159	61631944	0.03366906474820144	0.5288135593220339	78600.0	1
"  ASCII
"	0.4340277777777778	0.05216138328530259	61631944	0.03366906474820144	0.27055702917771884	3610.0	1
"  Assertion
"	0.018541666666666668	0.08478260869565217	2632916	0.006762589928057554	0.12873862158647595	78800.0	1
"  Associative array
"	0.0002090277777777778	0.08361111111111111	29681	9.35251798561151e-05	0.4868913857677903	273.0	1
"  Automata theory
"	0.0025625	0.8035714285714286	363875	0.006215827338129497	0.8304033092037229	9370.0	1
"  Automated reasoning
"	0.0014513888888888888	0.5384615384615384	206097	0.001618705035971223	0.6392045454545454	2670.0	1
"  Bandwidth
"	0.05395833333333333	0.11480206540447505	7662083	0.010215827338129497	0.15757575757575756	83000.0	1
"  Bayesian programming
"	2.0833333333333333e-05	0.36101083032490977	2958	4.3165467625899284e-05	1.1320754716981132	53.0	1
"  Benchmark
"	0.09166666666666666	0.15126050420168066	13016666	0.018201438848920864	0.27282377919320594	97100.0	1
"  Best, worst and average case
"	0.00023958333333333332	0.7703349282296651	34020	0.00015755395683453237	0.7551867219917012	218.0	1
"  Big data
"	0.20416666666666666	0.27184466019417475	28991666	0.009136690647482014	0.5429864253393665	22300.0	1
"  Big O notation
"	0.0005145833333333334	0.3672043010752688	73070	0.0004553956834532374	0.395	1500.0	1
"  Binary number
"	0.0012152777777777778	0.2196765498652291	172569	0.0005424460431654677	0.5784172661870504	1630.0	1
"  Binary search algorithm
"	0.0005048611111111111	0.45125	71690	0.00047194244604316545	0.590990990990991	1160.0	1
"  Binary tree
"	0.00275	0.24736842105263157	390500	0.0030215827338129497	0.4449244060475162	8770.0	1
"  Bioinformatics
"	0.09513888888888888	0.5308641975308642	13509722	0.0061079136690647485	0.4271356783919598	19500.0	1
"  Bit
"	0.3840277777777778	0.03911764705882353	54531944	0.028129496402877697	0.22342857142857142	179000.0	1
"  Bit rate
"	0.0022708333333333335	0.04267515923566879	322458	0.0007841726618705036	0.313953488372093	3450.0	1
"  Blacklist
"	0.0014236111111111112	0.006732673267326733	202152	0.00025611510791366906	0.5144508670520231	682.0	1
"  BMP file format
"	3.986111111111111e-05	0.07025703794369645	5660	5.755395683453238e-06	0.8	10.0	1
"  Boolean data type
"	0.00011805555555555556	0.19767441860465115	16763	3.5971223021582732e-06	0.5	9.0	1
"  Boolean expression
"	0.0009027777777777777	0.2444933920704846	128194	0.0005539568345323741	0.7817307692307692	1020.0	1
"  Boolean algebra
"	0.0028055555555555555	0.37142857142857144	398388	0.0013093525179856116	0.4411134903640257	4080.0	1
"  Byte
"	0.02361111111111111	0.05837651122625216	3352777	0.0021798561151079136	0.40878828229027964	7420.0	1
"  Booting
"	0.001638888888888889	0.02874543239951279	232722	0.00014676258992805756	0.42677824267782427	619.0	1
"  Callback
"	0.0020277777777777777	0.011232394366197183	287944	0.00042014388489208636	0.4907563025210084	1200.0	1
"  Central processing unit
"	0.0023194444444444443	0.09196891191709844	329361	0.00038489208633093525	0.45726495726495725	1160.0	1
"  Character
"	0.24791666666666667	0.018275862068965518	35204166	0.013525179856115108	0.09693877551020408	198000.0	1
"  Cipher
"	0.006354166666666667	0.060441176470588234	902291	0.0015251798561151078	0.5428571428571428	3010.0	1
"  Class
"	0.9236111111111112	0.04689922480620155	131152777	0.07482014388489208	0.0319	3210000.0	1
"  Class-based programming
"	8.194444444444445e-05	0.5048076923076923	11636	3.0215827338129498e-05	1.0	43.0	1
"  Class-orientation
"	2.4375e-05	0.054746835443037975	3461	3.5971223021582732e-06	0.29411764705882354	15.0	1
"  Client
"	0.2423611111111111	0.042198581560283686	34415277	0.0059136690647482015	0.4372781065088757	15000.0	1
"  Cleanroom software engineering
"	5.152777777777778e-05	0.35930232558139535	7316	2.158273381294964e-06	0.6	6.0	1
"  Closure
"	0.03701388888888889	0.02648148148148148	5255972	0.013309352517985611	0.15593220338983052	125000.0	1
"  Cloud computing
"	0.09305555555555556	0.23842592592592593	13213888	0.004244604316546763	0.6855555555555556	9550.0	1
"  Code library
"	0.00025625	0.07406593406593406	36387	0.00018776978417266187	0.06454081632653061	3940.0	1
"  Coding
"	0.3104166666666667	0.2819875776397516	44079166	0.018345323741007193	0.3493150684931507	82400.0	1
"  Coding theory
"	0.0021041666666666665	0.32054176072234764	298791	0.0022661870503597123	0.29333333333333333	7440.0	1
"  Cognitive science
"	0.05597222222222222	1.1510695187165776	7948055	0.0019568345323741007	0.42700156985871274	5830.0	1
"  Comma-separated values
"	0.00029652777777777777	0.05162846803377563	42106	0.00010431654676258992	0.3908355795148248	372.0	1
"  Compiler
"	0.02798611111111111	0.2	3974027	0.00460431654676259	0.5051724137931034	11700.0	1
"  Compiler theory
"	9.305555555555556e-05	0.48375451263537905	13213	2.0863309352517984e-05	0.4603174603174603	63.0	1
"  Computability theory
"	0.0005111111111111112	0.5582677165354331	72577	0.0005633093525179856	0.7217821782178218	1010.0	1
"  Computation
"	0.28125	0.8851351351351351	39937500	0.08201438848920864	0.05555555555555555	2300000.0	1
"  Computational biology
"	0.020069444444444445	0.5096899224806202	2849861	0.00320863309352518	0.39469026548672564	12800.0	1
"  Computational chemistry
"	0.0024652777777777776	0.20162162162162162	350069	0.0006179856115107914	0.21683937823834196	3270.0	1
"  Computational complexity theory
"	0.0013819444444444445	0.7713178294573644	196236	0.002935251798561151	0.967654986522911	3730.0	1
"  Computational model
"	0.0030902777777777777	0.2057142857142857	438819	0.002064748201438849	0.37247474747474746	8850.0	1
"  Computational neuroscience
"	0.0015347222222222223	0.3170391061452514	217930	0.0006676258992805755	0.3339041095890411	3110.0	1
"  Computational physics
"	0.002111111111111111	0.19166666666666668	299777	0.005136690647482014	0.17390243902439023	41500.0	1
"  Computational science
"	0.017152777777777777	0.9916666666666667	2435694	0.002920863309352518	0.2579310344827586	13100.0	1
"  Computational steering
"	7.5e-05	0.44680851063829785	10649	4.3165467625899284e-05	0.5660377358490566	82.0	1
"  Computer
"	0.9097222222222222	0.051452282157676346	129180555	1.014388489208633	0.48148148148148145	1990000.0	1
"  Computer architecture
"	0.0225	0.7254098360655737	3195000	0.0016258992805755397	0.46859903381642515	4070.0	1
"  Computer data storage
"	0.00065	0.15548172757475084	92300	5.035971223021583e-05	0.6902654867256637	86.0	1
"  Computer ethics
"	0.0008402777777777778	0.3627760252365931	119319	4.100719424460432e-05	0.7125	116.0	1
"  Computer graphics
"	0.0375	0.359375	5325000	0.003431654676258993	0.46320754716981133	10600.0	1
"  Computer network
"	0.020069444444444445	0.13919597989949747	2849861	0.0007553956834532374	0.5	1860.0	1
