phrase,frequency,custom_metric_score,wiki_score,final_score
big data,476.0,-39541.0,0.5,-3428.1000000000004
an analysis,523.0,-39347.0,0.3,-3381.7000000000003
its applications,517.0,-39101.0,0.2,-3373.1000000000004
an overview,561.0,-38626.0,0.0,-3301.6000000000004
feature selection,398.0,-37667.0,1.0,-3268.7000000000003
social networks,520.0,-38112.0,0.5,-3241.2000000000003
an approach,633.0,-38707.0,0.0,-3237.7000000000003
machine learning,497.0,-38179.0,1.0,-3220.9
deep learning,486.0,-37789.0,0.9,-3202.9
performance evaluation,608.0,-37694.0,0.2,-3141.4
face recognition,429.0,-35603.0,0.8,-3051.3
wireless networks,695.0,-37734.0,0.3,-3048.4
guest editorial,548.0,-35961.0,0.1,-3038.1000000000004
an application,894.0,-39464.0,0.6,-2992.4
an algorithm,508.0,-35724.0,0.9,-2974.4
resource allocation,414.0,-33710.0,0.3,-2927.0
sensor networks,431.0,-33795.0,0.4,-2908.5
artificial intelligence,330.0,-31557.0,1.0,-2725.7000000000003
performance analysis,1149.0,-38819.0,0.6,-2672.9
genetic algorithm,515.0,-31409.0,0.4,-2585.9
cloud computing,592.0,-32161.0,0.8,-2544.1000000000004
special issue,1375.0,-39125.0,0.1,-2527.5
neural network,378.0,-29997.0,1.0,-2521.7000000000003
its application,1531.0,-39398.0,0.4,-2368.8
genetic algorithms,580.0,-29532.0,0.5,-2323.2000000000003
fuzzy logic,313.0,-27056.0,0.7,-2322.6000000000004
hoc networks,461.0,-27738.0,0.3,-2282.8
image segmentation,305.0,-23690.0,0.9,-1974.0
neural networks,932.0,-28975.0,0.9,-1875.5
heterogeneous networks,272.0,-21310.0,0.5,-1809.0
a family,207.0,-19739.0,0.0,-1766.9
the study,204.0,-19493.0,0.0,-1745.3000000000002
the art,205.0,-19663.0,0.2,-1741.3000000000002
students ',285.0,-19643.0,0.0,-1679.3000000000002
ofdm systems,254.0,-19688.0,0.4,-1674.8000000000002
the structure,216.0,-18802.0,0.2,-1644.2
a system,331.0,-19865.0,0.2,-1635.5
vehicular networks,217.0,-18669.0,0.2,-1629.9
a case,338.0,-19714.0,0.1,-1623.4
the application,294.0,-19492.0,0.5,-1605.2
the theory,228.0,-18352.0,0.1,-1597.2
multi-agent systems,278.0,-19688.0,1.0,-1590.8000000000002
the evaluation,224.0,-18250.0,0.2,-1581.0
the solution,320.0,-18910.0,0.1,-1561.0
the future,379.0,-19360.0,0.0,-1557.0
editor 's,307.0,-18781.0,0.2,-1551.1000000000001
the relationship,283.0,-18286.0,0.1,-1535.6000000000001
review of,440.0,-19830.0,0.1,-1533.0
the accuracy,206.0,-17300.0,0.0,-1524.0
the importance,181.0,-17055.0,0.1,-1514.5
a tool,351.0,-18754.0,0.1,-1514.4
the analysis,408.0,-19375.0,0.3,-1499.5
the development,478.0,-19778.0,0.1,-1489.8000000000002
the context,286.0,-17999.0,0.4,-1473.9
the number,523.0,-19858.0,0.0,-1462.8000000000002
the evolution,300.0,-16988.0,0.0,-1398.8000000000002
the editor,445.0,-18781.0,0.4,-1393.1000000000001
the detection,191.0,-15942.0,0.4,-1363.2
cellular automata,198.0,-16302.0,0.7,-1362.2
the web,555.0,-19928.0,0.9,-1347.8000000000002
multi-objective optimization,166.0,-15665.0,0.7,-1330.5
the effectiveness,219.0,-15398.0,0.0,-1320.8000000000002
ieee 802.11,162.0,-14762.0,0.2,-1294.2
a model,652.0,-19525.0,0.1,-1290.5
the effects,594.0,-19024.0,0.2,-1288.4
the design,690.0,-19756.0,0.1,-1275.6000000000001
the dynamics,212.0,-15073.0,0.2,-1275.3000000000002
the influence,453.0,-17058.0,0.0,-1252.8000000000002
a graph,259.0,-15548.0,0.7,-1225.8000000000002
a method,688.0,-19050.0,0.2,-1197.0
a methodology,216.0,-14298.0,0.2,-1193.8000000000002
the performance,818.0,-19444.0,0.0,-1126.4
the effect,753.0,-18930.0,0.2,-1120.0
a hybrid,366.0,-14978.0,0.2,-1111.8000000000002
the cloud,312.0,-14380.0,0.2,-1106.0
the prediction,129.0,-12089.0,0.4,-1039.9
the case,925.0,-19714.0,0.1,-1036.4
the internet,923.0,-19753.0,0.6,-992.3000000000002
the use,997.0,-19940.0,0.2,-977.0
a study,1013.0,-19493.0,0.0,-936.3000000000002
the complexity,391.0,-14024.0,0.9,-921.4000000000001
the estimation,154.0,-11036.0,0.4,-909.6000000000001
case-based reasoning,132.0,-11078.0,0.7,-905.8
the convergence,151.0,-10716.0,0.2,-900.6000000000001
a characterization,142.0,-10526.0,0.2,-890.6000000000001
a comparison,860.0,-17746.0,0.4,-874.6000000000001
