noun_phrase,frequency,wiki,score
a survey,1805,-18713.0,0.0
a note,1432,-19541.0,0.0
it,1184,0.0,0.1
the,1162,0.0,0.1
its application,1531,-39398.0,0.4
a class,1253,-19613.0,0.2
special issue,1375,-39125.0,0.1
the impact,1092,-18665.0,0.1
a review,1096,-19830.0,0.2
the role,1070,-18908.0,0.0
a framework,1021,-17544.0,0.5
a study,1013,-19493.0,0.0
the use,997,-19940.0,0.2
performance analysis,1149,-38819.0,0.6
the case,925,-19714.0,0.1
the internet,923,-19753.0,0.6
the presence,872,-17219.0,0.1
a comparison,860,-17746.0,0.4
neural networks,932,-28975.0,0.9
the performance,818,-19444.0,0.0
erratum,579,0.0,0.1
the effect,753,-18930.0,0.2
you,522,0.0,0.1
an application,894,-39464.0,0.6
a method,688,-19050.0,0.2
the design,690,-19756.0,0.1
a model,652,-19525.0,0.1
the effects,594,-19024.0,0.2
ccedil,395,0.0,0.1
the web,555,-19928.0,0.9
corrigendum,334,0.0,0.4
the number,523,-19858.0,0.0
wireless networks,695,-37734.0,0.3
3d,302,0.0,0.6
the editor-in-chief,298,0.0,0.0
iot,297,0.0,0.9
genetic algorithms,580,-29532.0,0.5
the influence,453,-17058.0,0.0
the development,478,-19778.0,0.1
cloud computing,592,-32161.0,0.8
5g,260,0.0,0.2
the editor,445,-18781.0,0.4
the complexity,391,-14024.0,0.9
an approach,633,-38707.0,0.0
review of,440,-19830.0,0.1
heuristics,237,0.0,0.4
ntilde,232,0.0,0.1
performance evaluation,608,-37694.0,0.2
szlig,230,0.0,0.1
e-learning,223,0.0,0.1
cryptanalysis,221,0.0,0.9
a hybrid,366,-14978.0,0.2
robustness,215,0.0,0.5
the analysis,408,-19375.0,0.3
vanets,201,0.0,0.4
genetic algorithm,515,-31409.0,0.4
erratum to,199,0.0,0.1
guest editorial,548,-35961.0,0.1
the future,379,-19360.0,0.0
hoc networks,461,-27738.0,0.3
an overview,561,-38626.0,0.0
fpga,173,0.0,0.4
wsns,173,0.0,0.2
minimization,171,0.0,0.7
twitter,171,0.0,0.3
