phrase,concordance
profile-driven liveness,100.0
odor presentation,20.0
odor sensor,20.0
odor concentration,20.0
odor sources,20.0
odor source,20.0
gait recognition,33.33333333333333
gait samples,33.33333333333333
gait cycles,33.33333333333333
time-efficient way,50.0
time-efficient algorithm,50.0
children enjoy,15.789473684210526
children aged,10.526315789473683
children segue,10.526315789473683
children create,5.263157894736842
children felt,5.263157894736842
children understood,5.263157894736842
children heads.The,5.263157894736842
children education,5.263157894736842
children use,5.263157894736842
children explore,5.263157894736842
children literacy,5.263157894736842
children engage,5.263157894736842
children nodes,5.263157894736842
children understand,5.263157894736842
children travelling,5.263157894736842
attraction type,100.0
avoid paying,6.0606060606060606
avoid malicious,6.0606060606060606
avoid experimental,3.0303030303030303
avoid qualitative,3.0303030303030303
avoid errors,3.0303030303030303
avoid revealing,3.0303030303030303
avoid confusion,3.0303030303030303
avoid wrong,3.0303030303030303
avoid stalls,3.0303030303030303
avoid misconceptions,3.0303030303030303
avoid many,3.0303030303030303
avoid disaster,3.0303030303030303
avoid imposing,3.0303030303030303
avoid staggered,3.0303030303030303
avoid analysis,3.0303030303030303
avoid risks,3.0303030303030303
avoid omissions,3.0303030303030303
avoid policy-based,3.0303030303030303
avoid security,3.0303030303030303
avoid hampering,3.0303030303030303
avoid traffic,3.0303030303030303
avoid cycles,3.0303030303030303
avoid introduction,3.0303030303030303
avoid conflicts,3.0303030303030303
avoid extra,3.0303030303030303
avoid branch,3.0303030303030303
avoid cache,3.0303030303030303
avoid routing,3.0303030303030303
avoid scheduling,3.0303030303030303
avoid OS,3.0303030303030303
avoid burdening,3.0303030303030303
encoder based,50.0
encoder efficiently,50.0
account though,4.3478260869565215
account finite,4.3478260869565215
account traditional,4.3478260869565215
account occlusion,4.3478260869565215
account temporally,4.3478260869565215
account local,4.3478260869565215
account interfaces,4.3478260869565215
account issues,4.3478260869565215
account business,4.3478260869565215
account information,4.3478260869565215
account one,4.3478260869565215
account management,4.3478260869565215
account user,4.3478260869565215
account user's,4.3478260869565215
account throughout,4.3478260869565215
account four,4.3478260869565215
account message,4.3478260869565215
account matching,4.3478260869565215
account query,4.3478260869565215
account variance,4.3478260869565215
account instruction-level,4.3478260869565215
account enabling,4.3478260869565215
account network,4.3478260869565215
pursuer employing,50.0
pursuer positions,50.0
privacy protection,17.543859649122805
privacy policies,7.017543859649122
privacy issues,7.017543859649122
privacy requirements,4.385964912280701
privacy preserving,4.385964912280701
privacy control,3.508771929824561
privacy threats,3.508771929824561
privacy violation,2.631578947368421
privacy risk,2.631578947368421
privacy policy,2.631578947368421
privacy could,2.631578947368421
privacy concerns,2.631578947368421
privacy related,2.631578947368421
privacy process,1.7543859649122806
privacy protecting,1.7543859649122806
privacy issue,1.7543859649122806
privacy problems,1.7543859649122806
privacy enhancing,1.7543859649122806
privacy problem,1.7543859649122806
privacy needs,0.8771929824561403
privacy landscape,0.8771929824561403
privacy preservation,0.8771929824561403
privacy measure,0.8771929824561403
privacy practices,0.8771929824561403
privacy intrusion,0.8771929824561403
privacy intrusions,0.8771929824561403
privacy facilities,0.8771929824561403
privacy requirement,0.8771929824561403
