phrase,concordance_score,frequency,uniqueness,wiki_score,label
unlabeled data,1.0,-0.9911264481143702,0.9934990248537281,0.8999999999999999,True
congruential generator,1.0,-0.9995070248952428,0.7469120368055209,0.8,True
human-robot interaction,0.714127861089187,-0.9778161202859256,0.8126218932839926,0.8,True
role-based access,0.4542440984429936,-0.997535124476214,0.9838475771365705,0.8999999999999999,True
socket layer,1.0,-0.9990140497904856,0.5975396309446417,0.7,True
dimensionality reduction,0.599779005524862,-0.950702489524279,0.8625293794069111,0.5,True
data-flow analysis,0.4997237569060773,-0.9990140497904856,0.9687453117967695,0.5,False
botnet detection,0.3329650092081029,-0.9970421493714567,0.797069560434065,0.8,True
floating point,0.4997237569060773,-0.9990140497904856,0.6290943641546234,0.7,True
semistructured data,1.0,-0.9955632240571851,0.9934990248537281,-0.19999999999999996,True
machine learning,-0.3865924218036282,-0.755484348040424,0.9089363404510675,1.0,True
reinforcement learning,0.599779005524862,-0.8876016761153562,0.12171825773866085,0.8,True
case-based reasoning,0.599779005524862,-0.9354202612768056,0.5538330749612443,0.3999999999999999,False
multiagent systems,0.07641308967275817,-0.9625338920384521,0.9843976596489472,0.5,True
user-centered design,0.14238358326756106,-0.9886615725905842,0.9877981697254588,0.3999999999999999,True
interprocedural analysis,-0.4293606945540648,-0.9985210746857284,0.9687453117967695,1.0,False
operating systems,-0.3007182320441989,-0.9857037219620409,0.9209381407211081,0.8999999999999999,True
unsupervised learning,-0.33406998158379375,-0.9728863692383535,0.966544981747262,0.8,True
triangular mesh,-0.0005524861878453136,-0.9995070248952428,0.8379756963544533,0.6000000000000001,True
signal processing,-0.27730104619724916,-0.9511954646290363,0.8066209931489723,0.8,True
multi-agent systems,-0.7456447631362407,-0.8634458959822529,0.9843976596489472,1.0,True
artificial intelligence,-0.383116672083198,-0.837811190534878,0.5777866680002,1.0,True
triangular meshes,-0.6675874769797423,-0.9955632240571851,1.0,1.0,True
access control,-0.2982078853046596,-0.9383781119053488,0.9672450867630145,0.6000000000000001,True
biometric systems,-0.38538036549086274,-0.9921123983238846,0.9843976596489472,0.7,True
software development,-0.7598369969828769,-0.950702489524279,0.981347202080312,1.0,True
satisfiability problems,-0.33406998158379375,-0.9985210746857284,0.9676951542731409,0.6000000000000001,True
receptive fields,1.0,-0.997535124476214,0.9003350502575387,-0.7,False
discrete-event simulation,-0.0005524861878453136,-0.9950702489524279,0.7841676251437715,0.3999999999999999,False
pseudo-random number,-0.33406998158379375,-1.0,0.9928989348402262,0.5,True
minimization problem,-0.4293606945540648,-1.0,0.9723958593789068,0.6000000000000001,True
security requirements,-0.8270958443430219,-0.9926053734286419,0.9438915837375605,1.0,False
side-channel attacks,-0.0005524861878453136,-0.9955632240571851,0.8174726208931338,0.30000000000000004,False
supervised learning,-0.0005524861878453136,-0.990633473009613,0.2931939790968645,0.8,True
discrete-event systems,-0.0005524861878453136,-0.9842247966477693,0.9843976596489472,0.10000000000000009,False
