phrase,concordance_score,frequency,uniqueness,wiki_score,total
unlabeled data,1.0,-0.9911264481143702,0.9934990248537281,0.8999999999999999,0.8538184338077135
denial-of-service attacks,1.0,-0.9970421493714567,0.8174726208931338,0.8999999999999999,0.8095160477547105
context-free grammars,0.4997237569060773,-0.9891545476953414,1.0,1.0,0.7754732118417522
congruential generator,1.0,-0.9995070248952428,0.7469120368055209,0.8,0.7467526579566182
role-based access,0.4542440984429936,-0.997535124476214,0.9838475771365705,0.8999999999999999,0.7146461626710803
human-robot interaction,0.714127861089187,-0.9778161202859256,0.8126218932839926,0.8,0.6927966325789987
shared-memory multiprocessors,0.11062001227747098,-0.9950702489524279,1.0,1.0,0.6779014906217464
socket layer,1.0,-0.9990140497904856,0.5975396309446417,0.7,0.6644342052466361
human-computer interaction,0.5235464351486452,-0.9625338920384521,0.8126218932839926,0.8,0.6459153875062369
botnet detection,0.3329650092081029,-0.9970421493714567,0.797069560434065,0.8,0.5926565349419692
feedforward networks,-0.0005524861878453136,-0.9985210746857284,0.9334400160024006,0.8999999999999999,0.5882958287193524
neural network,0.1637173249773234,-0.8141483855065319,0.49977496624493667,1.0,0.5751656535302384
floating point,0.4997237569060773,-0.9990140497904856,0.6290943641546234,0.7,0.5472538277756509
dimensionality reduction,0.599779005524862,-0.950702489524279,0.8625293794069111,0.5,0.5430419717567293
machine learning,-0.3865924218036282,-0.755484348040424,0.9089363404510675,1.0,0.5428117622598386
data-flow analysis,0.4997237569060773,-0.9990140497904856,0.9687453117967695,0.5,0.5421665646861874
interprocedural analysis,-0.4293606945540648,-0.9985210746857284,0.9687453117967695,1.0,0.5349201005763897
intrusion detection,0.6449652468365712,-0.9354202612768056,0.14707206080912139,0.8,0.5112383138475829
operating systems,-0.3007182320441989,-0.9857037219620409,0.9209381407211081,0.8999999999999999,0.5107697910711252
reinforcement learning,0.599779005524862,-0.8876016761153562,0.12171825773866085,0.8,0.49599423201011295
triangular meshes,-0.6675874769797423,-0.9955632240571851,1.0,1.0,0.48332496955220516
mixed reality,0.3203794433441052,-0.9921123983238846,0.7225083762564386,0.6000000000000001,0.4811163349839418
multilayer perceptrons,-0.33406998158379375,-0.990633473009613,1.0,0.8,0.47695083095357094
unsupervised learning,-0.33406998158379375,-0.9728863692383535,0.966544981747262,0.8,0.4694744315789494
programming language,-0.6153497969779671,-0.9960561991619423,0.8899334900235036,1.0,0.46884311330328704
multi-agent systems,-0.7456447631362407,-0.8634458959822529,0.9843976596489472,1.0,0.466515929329064
software development,-0.7598369969828769,-0.950702489524279,0.981347202080312,1.0,0.45784242679814485
artificial intelligence,-0.383116672083198,-0.837811190534878,0.5777866680002,1.0,0.45677693945250664
signal processing,-0.27730104619724916,-0.9511954646290363,0.8066209931489723,0.8,0.444770213506479
multiagent systems,0.07641308967275817,-0.9625338920384521,0.9843976596489472,0.5,0.44207599272850373
security requirements,-0.8270958443430219,-0.9926053734286419,0.9438915837375605,1.0,0.4295686661772026
triangular mesh,-0.0005524861878453136,-0.9995070248952428,0.8379756963544533,0.6000000000000001,0.42938045129688995
multiprocessor systems,-0.5208397790055249,-0.9891545476953414,0.9843976596489472,0.8,0.42643174277608853
augmented reality,0.11815713081749224,-0.9556322405718511,0.8742811421713255,0.5,0.42532795621861186
case-based reasoning,0.599779005524862,-0.9354202612768056,0.5538330749612443,0.3999999999999999,0.4216320070576862
exploiting parallelism,-0.9241393965150871,-0.9970421493714567,1.0,1.0,0.41911304340265537
biometric systems,-0.38538036549086274,-0.9921123983238846,0.9843976596489472,0.7,0.4151487036233269
user-centered design,0.14238358326756106,-0.9886615725905842,0.9877981697254588,0.3999999999999999,0.4131123596187257
feature selection,-0.9101456554495229,-0.8042888834113877,0.8833324998749814,1.0,0.40308226693579524
software security,-0.9798166216057365,-0.9965491742666995,0.9775466319947992,1.0,0.3996050438839307
network classifiers,-0.997525178149616,-1.0,0.9845476821523229,1.0,0.3967556260006767
application security,-0.9845212295106986,-0.9960561991619423,0.959693954093114,1.0,0.39399037118750674
software requirements,-0.9869127385290545,-0.9926053734286419,0.9512426864029604,1.0,0.3914522182970444
access control,-0.2982078853046596,-0.9383781119053488,0.9672450867630145,0.6000000000000001,0.39034039476932136
language model,-0.9894706411409482,-0.9995070248952428,0.9481922288343252,1.0,0.3897050456785821
web browser,-0.9836025965240082,-0.9990140497904856,0.9340401060159025,1.0,0.3876586748834493
supervised learning,-0.0005524861878453136,-0.990633473009613,0.2931939790968645,0.8,0.3836286995767742
satisfiability problems,-0.33406998158379375,-0.9985210746857284,0.9676951542731409,0.6000000000000001,0.3784802394380504
web servers,-0.9952708470917965,-0.9896475228000986,0.8937840676101414,1.0,0.3751459289895813
fine-grain parallelism,-0.7509668508287293,-0.9995070248952428,1.0,0.8,0.37228293604805557
source software,-0.9091001460595669,-0.9955632240571851,0.9715457318597791,0.8999999999999999,0.37083323524719375
visual programming,-0.9536854232672619,-0.9980280995809712,0.8352752912936943,1.0,0.3704960620275595
optimization problem,-0.7041668151844591,-0.9945772738476707,0.7556133420013003,0.8999999999999999,0.3681327680118267
support vector,-0.9195784735011254,-0.9911264481143702,0.7742161324198629,1.0,0.36410309232396587
