phrase,concordance_score,frequency,uniqueness,wiki_score,popularity,purity,suggested_query_score,label
unlabeled data,1.0,-0.9911264481143702,0.9934990248537281,0.8999999999999999,-0.9978377029222847,0.9999998860010644,-0.7222222222222222,False
congruential generator,1.0,-0.9995070248952428,0.7469120368055209,0.8,-0.999811531232331,0.9999998860010644,-0.7222222222222222,True
human-robot interaction,0.714127861089187,-0.9778161202859256,0.8126218932839926,0.8,-0.9962790152761577,0.9999998860010644,-0.7222222222222222,True
role-based access,0.4542440984429936,-0.997535124476214,0.9838475771365705,0.8999999999999999,-0.9977536560394052,0.9999998860010644,-0.7222222222222222,True
socket layer,1.0,-0.9990140497904856,0.5975396309446417,0.7,-0.9988513592673149,0.9999998860010644,-0.5277777777777778,True
dimensionality reduction,0.599779005524862,-0.950702489524279,0.8625293794069111,0.5,-0.9913864679424814,0.9999998553228706,0.6666666666666665,True
data-flow analysis,0.4997237569060773,-0.9990140497904856,0.9687453117967695,0.5,-0.9982579373366817,0.9999998860010644,-0.8333333333333334,False
botnet detection,0.3329650092081029,-0.9970421493714567,0.797069560434065,0.8,-0.9996103280884683,0.9999998860010644,0.5277777777777777,True
floating point,0.4997237569060773,-0.9990140497904856,0.6290943641546234,0.7,-0.9795587793336356,0.9999999028892956,-0.7222222222222222,False
semistructured data,1.0,-0.9955632240571851,0.9934990248537281,-0.19999999999999996,-0.9994091249446054,0.9999998860010644,-0.9166666666666666,False
machine learning,-0.3865924218036282,-0.755484348040424,0.9089363404510675,1.0,0.09079864913737334,0.9999999112470792,0.22222222222222232,True
reinforcement learning,0.599779005524862,-0.8876016761153562,0.12171825773866085,0.8,-0.9757053570973773,0.9999999400667958,-0.08333333333333337,True
case-based reasoning,0.599779005524862,-0.9354202612768056,0.5538330749612443,0.3999999999999999,-0.9967323590686586,0.9999998860010644,-0.23611111111111116,False
multiagent systems,0.07641308967275817,-0.9625338920384521,0.9843976596489472,0.5,-0.9957441714760161,0.999999884705217,-0.33333333333333337,True
user-centered design,0.14238358326756106,-0.9886615725905842,0.9877981697254588,0.3999999999999999,-0.9943866869737519,0.9999998860010644,-0.7222222222222222,False
interprocedural analysis,-0.4293606945540648,-0.9985210746857284,0.9687453117967695,1.0,-0.9997605937275557,0.9999998860010644,-0.8333333333333334,False
operating systems,-0.3007182320441989,-0.9857037219620409,0.9209381407211081,0.8999999999999999,-0.8443400791568825,0.9999998860010644,-0.7222222222222222,True
unsupervised learning,-0.33406998158379375,-0.9728863692383535,0.966544981747262,0.8,-0.9886383895598491,0.9999998822038332,-0.08333333333333337,True
triangular mesh,-0.0005524861878453136,-0.9995070248952428,0.8379756963544533,0.6000000000000001,-0.9993429061883975,0.9999998860010644,-0.33333333333333337,True
signal processing,-0.27730104619724916,-0.9511954646290363,0.8066209931489723,0.8,-0.7386091004946032,0.9999998860010644,-0.08333333333333337,True
multi-agent systems,-0.7456447631362407,-0.8634458959822529,0.9843976596489472,1.0,-0.9909356710252192,0.9999998642647372,-0.27083333333333337,True
artificial intelligence,-0.383116672083198,-0.837811190534878,0.5777866680002,1.0,-0.06670520937861324,0.9999998860010644,-0.36111111111111116,True
triangular meshes,-0.6675874769797423,-0.9955632240571851,1.0,1.0,-0.9994447811979482,0.9999998860010644,-0.8611111111111112,True
access control,-0.2982078853046596,-0.9383781119053488,0.9672450867630145,0.6000000000000001,-0.9421935727056474,0.9999998654270206,-0.5833333333333334,True
biometric systems,-0.38538036549086274,-0.9921123983238846,0.9843976596489472,0.7,-0.9988666405187475,0.9999998635072977,-0.7222222222222222,False
