phrase,popularity
unlabeled data,0.000849
congruential generator,0.000074
human-robot interaction,0.001461
role-based access,0.000882
socket layer,0.000451
dimensionality reduction,0.003382
data-flow analysis,0.000684
botnet detection,0.000153
floating point,0.008026
semistructured data,0.000232
machine learning,0.428289
reinforcement learning,0.009539
case-based reasoning,0.001283
multiagent systems,0.001671
user-centered design,0.002204
interprocedural analysis,0.000094
operating systems,0.061118
unsupervised learning,0.004461
triangular mesh,0.000258
signal processing,0.102632
multi-agent systems,0.003559
artificial intelligence,0.366447
triangular meshes,0.000218
access control,0.022697
biometric systems,0.000445
software development,0.126316
satisfiability problems,0.000287
receptive fields,0.000543
discrete-event simulation,0.001020
pseudo-random number,0.000743
minimization problem,0.001237
security requirements,0.003184
side-channel attacks,0.000456
supervised learning,0.013355
discrete-event systems,0.000590
inclusive design,0.000284
exploiting parallelism,0.000138
tacit knowledge,0.000961
source code,0.042566
face recognition,0.005711
fine-grain parallelism,0.000095
granular computing,0.000393
knowledge-based systems,0.003941
deep learning,0.077632
elliptic curve,0.001434
automata theory,0.002197
training data,0.025461
software security,0.002020
network classifiers,0.000318
logarithm problem,0.000333
software requirements,0.007171
requirements engineering,0.002441
source software,0.013684
expert systems,0.011645
language model,0.001368
optimization problem,0.015921
image processing,0.070395
public key,0.010329
biometric technologies,0.000195
stopping rules,0.000126
object-oriented software,0.002783
text summarization,0.000593
secret key,0.002625
user requirements,0.004197
polygonal meshes,0.000122
security model,0.001250
integer programming,0.002289
polynomial time,0.008882
recursively enumerable,0.000373
software engineering,0.203947
visual programming,0.001197
enterprise applications,0.003572
injection attacks,0.000497
secured connections,0.000011
reconfigurable computing,0.000656
support vector,0.028421
computer graphics,0.039671
autonomic computing,0.000711
ad-hoc networks,0.006842
application development,0.032368
software testing,0.017500
simulated annealing,0.003178
software package,0.007829
mandatory access,0.000239
combinatorial optimization,0.003789
finite state,0.005289
range images,0.000372
user interfaces,0.013816
instant messaging,0.002408
geographic information,0.030859
functional programming,0.004742
training samples,0.001374
high-dimensional data,0.002055
parallel computing,0.008650
software tools,0.011840
embedded systems,0.028650
mobile games,0.001822
search space,0.007485
search algorithm,0.007485
logic programming,0.002871
stereo vision,0.000847
performance analysis,0.023252
ubiquitous computing,0.005025
generative model,0.000988
wearable computing,0.000669
learning algorithm,0.015951
computer vision,0.084049
number generator,0.001681
key infrastructure,0.001301
combinatorial problems,0.000994
hardware/software co-design,0.000382
hardware/software codesign,0.000307
grid computing,0.003080
speech recognition,0.009693
computing systems,0.021840
data structures,0.061350
shared memory,0.003233
global optimization,0.002448
information security,0.075460
file systems,0.002687
internet security,0.004387
user experience,0.103681
software quality,0.029264
least squares,0.018466
software support,0.003006
algorithmic aspects,0.000483
markup languages,0.000748
web access,0.001233
deductive databases,0.000240
database systems,0.014847
micropayment systems,0.000014
fitness function,0.001368
dynamic programming,0.013252
vector machines,0.010552
agent-based systems,0.000933
feature extraction,0.016871
recognition techniques,0.000755
web services,0.047607
handheld devices,0.001276
image annotation,0.000456
algorithmic techniques,0.000366
physical security,0.003945
cryptographic protocols,0.000798
medical image,0.004337
concurrent programs,0.000572
optimization techniques,0.004172
distributed computing,0.023067
wavelet denoising,0.000118
user behavior,0.002025
machine intelligence,0.010859
computer science,0.785276
game interface,0.000189
end user,0.027791
virtual machine,0.008466
privacy protection,0.001681
software systems,0.019693
intelligent agents,0.001975
admission control,0.000957
mobile applications,0.018589
secure data,0.001515
pattern recognition,0.056871
game development,0.026933
key exchange,0.001123
parallel programs,0.000926
virtual environment,0.002865
log files,0.001601
suffix trees,0.000210
cellular automata,0.001663
assistive technology,0.002577
static code,0.000675
private key,0.002031
image classifiers,0.000076
optimization technique,0.001239
language processing,0.031288
conversational agents,0.000378
register allocation,0.000332
web document,0.000407
microarray data,0.001092
key management,0.002196
encrypted data,0.001245
security protocols,0.001712
dynamic program,0.000484
block ciphers,0.000548
reachability analysis,0.000419
security controls,0.001748
complexity theory,0.002442
web usage,0.000699
computational cost,0.005466
cryptographic schemes,0.000246
hidden layers,0.000969
software developers,0.010368
context-aware security,-0.000000
data mining,-0.000000
optimization algorithms,-0.000000
user interactions,-0.000000
computer games,-0.000000
memory access,-0.000000
decentralized systems,-0.000000
mesh processing,-0.000000
parallel computers,-0.000000
user data,-0.000000
security architecture,-0.000000
distributed memory,-0.000000
multimedia applications,-0.000000
automatic parallelization,-0.000000
knowledge representation,-0.000000
network topologies,-0.000000
spatiotemporal data,-0.000000
practical algorithms,-0.000000
parallel algorithms,-0.000000
information privacy,-0.000000
network computing,-0.000000
wide web,-0.000000
constraint programming,-0.000000
context-aware applications,-0.000000
images using,-0.000000
computer interaction,-0.000000
image data,-0.000000
computer systems,-0.000000
theorem proving,-0.000000
user profiles,-0.000000
maturity model,-0.000000
embedded devices,-0.000000
virtual environments,-0.000000
optimization methods,-0.000000
reverse engineering,-0.000000
machine translation,-0.000000
mobile computers,-0.000000
component analysis,-0.000000
