phrase,purity
unlabeled data,1.000000
congruential generator,1.000000
human-robot interaction,1.000000
role-based access,1.000000
socket layer,1.000000
dimensionality reduction,0.911340
data-flow analysis,1.000000
botnet detection,1.000000
floating point,1.048807
semistructured data,1.000000
machine learning,1.072961
reinforcement learning,1.156250
case-based reasoning,1.000000
multiagent systems,0.996255
user-centered design,1.000000
interprocedural analysis,1.000000
operating systems,1.000000
unsupervised learning,0.989026
triangular mesh,1.000000
signal processing,1.000000
multi-agent systems,0.937182
artificial intelligence,1.000000
triangular meshes,1.000000
access control,0.940541
biometric systems,0.934993
software development,1.010309
satisfiability problems,1.000000
receptive fields,1.000000
discrete-event simulation,1.051613
pseudo-random number,1.000000
minimization problem,1.000000
security requirements,1.000000
side-channel attacks,1.000000
supervised learning,1.000000
discrete-event systems,1.000000
inclusive design,1.000000
exploiting parallelism,1.000000
tacit knowledge,1.000000
source code,0.899361
face recognition,1.000000
fine-grain parallelism,1.000000
granular computing,1.000000
knowledge-based systems,1.067594
deep learning,1.000000
elliptic curve,0.995283
automata theory,1.000000
training data,1.000000
software security,1.000000
network classifiers,1.000000
logarithm problem,1.000000
software requirements,0.991304
requirements engineering,1.015748
source software,1.000000
expert systems,0.994845
language model,1.000000
optimization problem,1.000000
image processing,0.945946
public key,0.930380
biometric technologies,0.982935
stopping rules,1.000000
object-oriented software,1.020316
text summarization,0.964706
secret key,1.067449
user requirements,1.000000
polygonal meshes,1.000000
security model,1.000000
integer programming,1.000000
polynomial time,1.000000
recursively enumerable,1.000000
software engineering,1.000000
visual programming,1.000000
enterprise applications,1.000000
injection attacks,0.919708
secured connections,1.000000
reconfigurable computing,1.000000
support vector,1.000000
computer graphics,0.998454
autonomic computing,0.912000
ad-hoc networks,1.000000
application development,1.000000
software testing,1.116197
simulated annealing,1.000000
software package,1.046154
mandatory access,1.000000
combinatorial optimization,0.990476
finite state,0.965962
range images,-56500.000000
user interfaces,1.000000
instant messaging,1.000000
optimization problems,1.000000
geographic information,1.000000
functional programming,0.930607
training samples,1.000000
high-dimensional data,0.913545
parallel computing,1.044776
software tools,0.893939
embedded systems,0.955414
mobile games,1.053435
search space,1.000000
search algorithm,1.089414
logic programming,1.010638
stereo vision,1.000000
performance analysis,1.032967
ubiquitous computing,1.017094
generative model,0.993976
wearable computing,1.000000
learning algorithm,1.003759
computer vision,0.933333
number generator,0.996212
key infrastructure,1.000000
combinatorial problems,1.000000
hardware/software co-design,1.000000
